jogador,time,posicao,idade,Minutos,G-PK,Assist,Xg,xAG,xG+xAg,Prgc,PrgP,Cross,Faltas Sofridas,KeyPass,1/3,passPA,crossPA,Dribles tentados,Dribles Certos,Corridas 1/3,Corridas PA,PrgR
Saúl Ñíguez,Sevilla,MF,29,1553,1,6,2.8,2.5,5.3,13,66,19,11,22,51,8,2,28,12,15,3,39
Suso,Sevilla,"FW,MF",30,606,0,2,0.7,1.6,2.3,20,43,59,16,22,31,13,4,32,14,22,2,74
Diego López,Valencia,"MF,FW",22,2737,8,5,6.6,5.0,11.6,76,85,67,33,38,43,34,9,77,23,51,24,219
Domingos André Ribeiro Almeida,Valencia,"MF,FW",24,1977,0,4,1.2,3.2,4.4,45,142,67,38,43,96,24,5,54,22,48,11,77
Enzo Barrenechea,Valencia,MF,23,2191,1,2,1.3,0.9,2.3,21,126,3,45,15,143,7,0,31,11,17,0,16
Hugo Duro,Valencia,FW,24,2166,10,2,9.4,1.3,9.9,13,28,7,50,14,18,3,0,20,7,8,7,88
Javier Guerra,Valencia,MF,21,2581,3,3,2.2,3.2,5.4,50,137,45,30,23,119,23,4,78,29,42,13,84
José Luis García Vayá,Valencia,MF,25,1742,0,2,2.1,2.1,2.6,13,142,109,19,32,163,6,3,13,8,16,1,19
Luis Rioja,Valencia,"MF,FW",30,2831,3,3,3.3,4.5,6.2,93,103,203,38,35,42,60,25,91,43,57,28,228
Rafa Mir,Valencia,"FW,MF",27,753,1,2,3.0,0.7,3.8,10,20,7,7,4,15,4,2,14,2,7,0,28
Umar Sadiq,Valencia,FW,27,825,5,0,3.4,0.7,4.1,9,7,0,16,6,4,0,0,25,11,8,3,49
Anuar,Valladolid,"MF,FW",29,1720,2,0,1.7,1.2,2.9,24,30,22,48,7,19,3,2,24,7,15,6,68
Chuky san jose,Valladolid,MF,20,728,2,0,2.2,1.2,3.4,6,15,24,10,8,10,5,3,9,4,5,1,27
Darwin Machís,Valladolid,"MF,FW",31,639,0,1,0.9,0.5,1.4,17,19,68,14,8,17,5,4,20,5,15,1,43
Florian Grillitsch,Valladolid,MF,28,623,0,0,0.1,0.7,0.8,9,38,6,12,8,29,5,0,15,11,4,0,7
Iván Sánchez,Valladolid,"MF,FW",31,1404,2,1,0.7,2.9,3.5,60,77,114,48,24,52,23,15,49,28,34,11,93
Juanmi Latasa,Valladolid,FW,23,1398,3,0,4.2,0.9,5.1,3,17,5,36,13,11,5,1,15,8,3,0,40
Kike Pérez,Valladolid,MF,27,1191,2,0,2.1,1.0,3.1,19,67,33,21,17,47,5,0,22,8,18,4,28
Mamadou Sylla,Valladolid,"FW,MF",30,1583,1,1,5.1,1.7,3.6,15,22,9,32,14,13,5,0,17,5,8,6,52
Marcos André,Valladolid,FW,27,1188,1,2,2.7,0.8,3.5,11,16,1,28,9,13,3,0,41,17,9,5,39
Mario Martín,Valladolid,MF,20,1748,0,1,1.8,1.4,3.2,18,66,11,44,12,52,3,1,38,19,16,2,22
Raúl Moro,Valladolid,"MF,FW",21,2341,4,5,4.1,5.7,9.8,112,81,149,16,44,41,38,22,132,57,69,60,190
