jogador,time,posicao,idade,Minutos,G-PK,Assist,Xg,xAG,xG+xAg,Prgc,PrgP,Cross,Faltas Sofridas,KeyPass,1/3,passPA,crossPA,Dribles tentados,Dribles Certos,Corridas 1/3,Corridas PA,PrgR
Selim Amallah,Valladolid,MF,27,1376,2,1,3.5,1.1,3.8,24,57,31,28,13,42,11,0,68,33,17,6,27
Stanko Jurić,Valladolid,MF,27,1729,0,0,0.8,0.5,1.3,5,57,0,9,4,40,4,0,10,6,6,2,8
Alex Baena,Villarreal,"MF,FW",23,2595,7,9,7.1,11.7,18.1,91,189,207,47,95,95,72,19,56,21,93,15,154
Ayoze Pérez,Villarreal,FW,31,1970,19,2,12.7,3.0,15.7,59,73,15,39,32,37,21,5,78,34,31,33,124
Daniel Parejo,Villarreal,MF,35,2273,2,3,2.5,1.8,2.7,19,176,37,37,23,176,17,3,12,8,29,0,26
Denis Suárez,Villarreal,MF,30,608,1,1,0.9,1.5,2.4,27,35,25,7,14,21,8,3,17,10,18,5,24
Gerard Moreno,Villarreal,FW,32,721,0,2,4.2,3.6,5.5,19,53,10,11,17,30,15,2,31,18,14,9,60
Nicolas Pépé,Villarreal,"FW,MF",29,1500,3,6,3.8,4.8,8.6,76,60,44,25,33,25,27,3,64,27,40,30,159
Pape Gueye,Villarreal,MF,25,2224,4,0,3.4,1.1,4.5,36,156,20,62,17,118,23,2,33,11,28,7,69
Santi Comesaña,Villarreal,MF,27,2560,4,2,4.6,2.0,6.6,39,154,14,27,27,143,30,3,34,18,30,6,58
Thierno Barry,Villarreal,FW,21,2323,10,4,12.5,2.9,14.6,44,27,5,51,23,14,12,1,50,18,35,25,124
Yeremi Pino,Villarreal,"MF,FW",21,1934,4,7,3.9,5.3,9.2,42,66,47,30,37,35,32,8,58,25,26,21,213
Esteban Lepaul,Angers,FW,24,1629,9,0,5.1,0.8,6.0,26,20,15,17,7,13,7,2,21,6,15,10,68
Farid El Melali,Angers,FW,27,1893,2,3,3.6,3.1,6.7,62,43,87,46,25,18,14,2,119,52,39,31,113
Haris Belkebla,Angers,MF,30,1792,0,1,0.1,0.9,1.0,8,69,3,32,5,68,3,0,22,9,15,1,15
Himad Abdelli,Angers,"MF,FW",24,2842,3,1,6.4,3.2,6.4,107,207,44,32,39,171,38,3,121,57,90,17,111
Ibrahima Niane,Angers,FW,25,943,2,1,5.7,1.0,6.0,19,9,2,30,9,13,2,0,19,6,15,8,50
Jean-Eudes Aholou,Angers,MF,30,1959,2,0,1.8,1.0,2.8,15,68,2,25,10,46,7,0,28,12,8,2,16
Jim Allevinah,Angers,FW,29,1750,1,3,4.2,2.5,6.7,57,48,34,25,15,28,13,3,48,15,34,8,99
Yassin Belkhdim,Angers,MF,22,1523,1,1,0.8,0.6,1.4,17,37,16,15,5,27,3,1,15,2,7,2,31
Zinedine Ferhat,Angers,"FW,MF",31,849,2,0,1.4,2.4,3.7,16,40,68,15,17,24,13,3,22,10,10,4,64
Ado Onaiwu,Auxerre,"MF,FW",28,957,4,1,4.0,1.1,5.1,17,33,7,12,10,21,9,4,25,11,17,4,74
Assane Dioussé,Auxerre,MF,26,663,0,0,0.1,0.2,0.3,1,33,1,11,2,21,0,0,6,2,5,1,6
Elisha Owusu,Auxerre,MF,26,2344,1,3,0.4,1.0,1.4,8,78,8,21,14,53,6,1,23,9,10,2,33
Gaëtan Perrin,Auxerre,"MF,FW",28,2691,10,11,6.1,7.8,13.9,83,142,162,20,73,87,34,7,127,60,61,37,125
Hamed Junior Traorè,Auxerre,MF,24,2093,10,2,7.9,2.7,10.6,66,99,42,40,27,53,27,5,98,34,49,19,146
Han-Noah Massengo,Auxerre,MF,23,1046,0,0,0.4,0.4,0.8,13,28,9,21,3,23,3,2,29,10,12,2,13
Kévin Danois,Auxerre,MF,20,1460,0,0,1.5,2.2,3.7,19,95,14,18,25,62,11,2,41,21,19,5,50
Lassine Sinayoko,Auxerre,"FW,MF",24,2299,4,8,6.5,5.5,11.3,53,62,25,33,37,28,17,3,73,28,30,28,193
Theo Bair,Auxerre,FW,24,939,2,1,3.0,1.2,4.2,15,16,7,5,10,10,0,0,8,2,4,9,42
Abdallah Sima,Brest,"FW,MF",23,1238,7,2,5.9,1.0,6.9,36,24,16,25,13,13,6,1,23,6,16,20,92
Hugo Magnetti,Brest,MF,26,2323,1,0,0.8,0.4,1.2,21,80,18,22,6,70,6,1,24,9,15,5,20
Kamory Doumbia,Brest,"MF,FW",21,1322,3,2,2.7,1.2,3.9,17,72,48,22,26,56,9,1,35,19,20,3,54
Ludovic Ajorque,Brest,FW,30,2495,13,2,10.4,3.1,12.7,10,41,7,26,35,29,11,1,17,8,11,4,124
Mahdi Camara,Brest,"MF,FW",26,2659,5,3,4.1,2.0,6.2,58,111,46,46,26,79,17,10,65,29,40,14,112
Mama Samba Baldé,Brest,FW,28,1149,2,3,3.0,2.1,5.1,35,22,10,22,16,13,5,2,55,17,16,23,100
Mathias Pereira Lage,Brest,"FW,MF",27,1571,2,7,3.3,3.5,6.8,32,41,99,28,22,23,14,6,28,10,17,9,100
Pierre Lees-Melou,Brest,MF,31,1526,2,2,1.3,2.8,4.0,23,105,22,30,19,110,13,4,21,12,19,5,36
Romain Del Castillo,Brest,FW,28,1259,3,4,4.7,3.4,4.9,29,61,103,17,37,44,26,11,44,19,26,7,106
Romain Faivre,Brest,"MF,FW",26,899,2,2,2.6,1.9,3.7,24,44,26,23,10,34,8,1,42,17,23,9,49
Abdoulaye Touré,Le Havre,MF,30,2324,2,1,9.4,0.4,2.6,17,109,11,45,7,90,10,5,33,17,14,0,28
André Ayew,Le Havre,FW,34,1453,4,1,4.3,0.2,4.6,5,18,7,30,8,7,3,0,13,5,3,3,43
Antoine Joujou,Le Havre,"MF,FW",21,943,0,2,0.6,3.0,3.7,44,18,37,7,15,8,15,10,61,30,23,17,85
Emmanuel Sabbi,Le Havre,"FW,MF",26,653,0,0,1.9,0.6,2.5,11,15,15,16,4,5,5,1,29,11,4,3,39
Issa Soumaré,Le Havre,"FW,MF",23,1902,5,4,3.8,3.1,6.9,61,45,42,60,28,17,16,4,57,16,40,13,144
Josué Casimir,Le Havre,"FW,MF",22,1997,4,4,3.3,3.4,6.7,71,41,85,46,26,22,13,7,48,22,33,28,151
Junior Mwanga,Le Havre,MF,21,952,1,2,1.3,1.0,2.3,15,42,21,6,7,37,4,2,16,7,7,2,15
Koka,Le Havre,FW,31,851,2,1,4.9,0.6,4.8,0,12,0,2,5,8,2,0,12,6,2,0,20
Oussama Targhalline,Le Havre,MF,22,990,0,0,0.1,0.7,0.9,25,66,16,10,6,50,13,2,13,5,25,1,34
Rassoul Ndiaye,Le Havre,MF,22,1061,1,0,1.7,0.6,2.4,6,46,32,10,10,30,9,3,12,3,5,0,30
Yassine Kechta,Le Havre,"MF,FW",22,2096,2,0,2.5,1.2,3.7,44,97,36,33,15,60,18,5,35,13,33,4,85
Adrien Thomasson,Lens,MF,30,2615,3,7,5.9,6.0,11.9,30,149,58,48,56,99,29,7,60,26,34,9,138
Anass Zaroury,Lens,"FW,MF",23,1405,2,2,1.7,2.9,4.6,49,65,125,24,35,39,34,13,35,17,41,8,107
Andy Diouf,Lens,MF,21,2225,1,2,2.9,2.8,5.7,82,116,30,21,33,60,31,3,87,43,74,10,94
Angelo Fulgini,Lens,"MF,FW",27,1045,1,1,2.4,3.8,6.2,29,69,44,26,28,31,27,8,38,11,26,8,113
Florian Sotoca,Lens,"FW,MF",33,1794,1,1,4.6,1.5,6.1,44,105,75,20,18,74,29,9,39,16,43,7,170
Goduine Koyalipou,Lens,FW,24,885,4,0,4.8,0.8,5.6,15,20,2,6,10,4,6,0,25,12,8,8,68
M'Bala Nzola,Lens,FW,27,1460,6,1,8.6,1.3,9.9,26,22,1,13,20,7,9,0,38,14,10,14,118
Neil El Aynaoui,Lens,MF,23,1588,5,1,4.0,2.0,3.6,11,75,65,32,22,76,7,2,21,5,13,2,29
Rémy Labeau Lascary,Lens,"FW,MF",21,637,2,1,2.5,1.1,3.6,17,7,19,9,7,7,9,6,26,12,7,9,71
Wesley Saïd,Lens,FW,29,905,3,0,3.2,1.0,4.2,16,24,8,4,9,11,12,0,19,9,10,8,53
André Gomes,Lille,MF,31,1276,0,0,0.5,0.7,1.3,18,101,11,12,10,96,15,1,24,10,19,0,28
Angel Gomes,Lille,MF,23,736,1,1,1.7,2.1,3.0,15,49,10,11,14,32,14,3,10,5,17,3,47
Ayyoub Bouaddi,Lille,MF,16,1151,0,1,0.1,1.0,1.1,11,37,3,9,5,36,1,0,29,14,9,3,26
Benjamin André,Lille,MF,33,2692,0,3,1.4,1.9,3.3,29,209,16,49,21,207,18,3,22,9,33,1,72
Chuba Akpom,Lille,FW,28,639,2,1,5.0,0.5,3.9,6,7,1,15,5,1,4,0,9,4,4,2,38
Edon Zhegrova,Lille,"FW,MF",25,978,4,1,2.3,2.2,4.5,37,54,58,11,16,17,26,3,55,23,31,18,81
Hákon Arnar Haraldsson,Lille,"MF,FW",21,1755,5,3,3.8,2.8,6.6,52,102,59,27,35,64,42,5,49,27,45,11,143
Jonathan David,Lille,FW,24,2554,10,5,16.2,4.4,15.1,40,65,4,36,36,29,26,0,42,20,25,20,184
Matias Fernandez-Pardo,Lille,"FW,MF",19,1065,4,2,2.9,2.8,5.7,46,26,30,21,16,10,11,0,50,20,30,26,85
Ngal'Ayel Mukau,Lille,MF,19,1190,0,1,0.8,0.7,1.5,19,57,5,15,12,52,8,1,17,9,18,3,43
Osame Sahraoui,Lille,"FW,MF",23,1293,3,3,2.9,3.6,6.5,69,89,12,12,29,47,41,3,79,35,39,23,159
Rémy Cabella,Lille,"FW,MF",34,1011,1,2,4.0,2.3,6.2,45,77,60,19,26,39,25,8,38,19,35,12,130
Alexandre Lacazette,Lyon,FW,33,2051,10,2,16.3,3.4,15.0,24,66,17,33,26,34,25,4,31,14,11,10,159
Corentin Tolisso,Lyon,MF,29,2329,7,4,5.3,4.9,10.2,31,166,32,50,31,147,35,4,21,11,35,3,133
Ernest Nuamah,Lyon,"FW,MF",20,1052,3,1,2.2,1.5,3.7,44,33,30,11,18,11,17,4,43,22,26,18,131
Georges Mikautadze,Lyon,FW,23,1449,8,6,10.3,4.3,11.4,37,54,9,23,21,21,14,0,59,17,16,21,140
Jordan Veretout,Lyon,MF,31,1553,2,0,1.9,0.6,2.5,35,99,26,11,13,86,12,0,9,5,18,6,60
Malick Fofana,Lyon,FW,19,1589,5,4,3.8,3.7,7.6,112,45,70,36,25,20,32,13,59,24,57,39,205
Nemanja Matić,Lyon,MF,35,2010,0,1,0.1,1.3,1.3,35,150,9,7,17,164,16,1,13,8,35,8,15
Rayan Cherki,Lyon,"FW,MF",20,2041,8,11,5.0,11.1,16.1,106,206,118,34,75,97,77,3,97,48,91,41,184
Saïd Benrahma,Lyon,"FW,MF",28,735,1,3,2.0,2.1,4.0,41,32,43,6,14,21,19,3,29,8,20,15,109
Tanner Tessmann,Lyon,MF,22,1234,1,0,1.0,0.6,1.6,11,56,14,14,7,64,3,0,20,10,16,1,27
Thiago Almada,Lyon,"MF,FW",23,951,1,4,2.0,2.6,4.6,38,97,47,8,22,58,20,2,14,8,34,10,50
Adrien Rabiot,Marseille,MF,29,2485,9,4,7.3,3.8,11.1,79,168,40,33,28,147,24,5,50,26,52,16,174
Amine Gouiri,Marseille,"FW,MF",24,1048,10,3,8.4,3.6,12.1,17,20,57,7,26,8,8,0,22,10,10,11,97
Ismaël Bennacer,Marseille,MF,26,646,0,2,0.1,1.8,1.9,14,72,28,11,13,83,13,2,11,7,24,1,8
Jon Rowe,Marseille,"FW,MF",21,807,3,3,3.5,4.5,8.0,30,31,28,26,18,8,14,5,48,20,16,11,96
Mason Greenwood,Marseille,"FW,MF",22,2804,14,5,16.3,5.7,14.8,126,157,110,37,47,78,70,14,129,54,71,67,295
Neal Maupay,Marseille,FW,27,1042,4,4,4.1,2.2,6.3,12,37,1,17,13,15,12,0,14,6,14,7,81
Pierre Højbjerg,Marseille,MF,28,2664,2,4,3.3,3.9,7.1,36,263,19,39,43,231,29,0,24,7,33,6,43
Aleksandr Golovin,Monaco,"MF,FW",28,1153,3,0,2.3,2.4,4.7,39,112,23,20,24,77,31,3,37,22,36,9,72
Breel Embolo,Monaco,"FW,MF",27,1841,6,4,10.8,5.6,16.4,22,55,6,43,32,22,23,0,42,14,15,12,140
Denis Zakaria,Monaco,MF,27,2144,4,4,5.2,1.4,5.0,27,113,7,21,16,91,23,2,36,21,30,8,36
Eliesse Ben Seghir,Monaco,"MF,FW",19,1750,4,3,5.5,5.2,9.3,85,122,52,55,33,71,45,4,96,35,83,25,170
Folarin Balogun,Monaco,FW,23,615,4,0,4.8,0.9,5.6,21,9,5,9,6,5,1,0,18,4,12,12,73
George Ilenikhena,Monaco,FW,17,717,3,2,5.1,1.4,6.5,8,10,0,10,9,3,3,0,17,3,5,5,58
Lamine Camara,Monaco,MF,20,2054,2,7,2.3,4.4,6.7,25,141,118,39,44,133,26,4,25,12,29,3,46
Maghnes Akliouche,Monaco,"FW,MF",22,2406,4,10,9.2,7.3,15.7,127,173,53,38,49,90,64,3,103,50,98,47,226
Mika Biereth,Monaco,FW,21,1228,12,2,11.3,4.5,14.2,14,24,8,30,22,11,16,1,11,1,8,5,110
Soungoutou Magassa,Monaco,MF,20,1025,0,1,0.5,0.9,1.4,6,63,7,20,7,67,10,2,23,15,9,1,11
Takumi Minamino,Monaco,"MF,FW",29,2231,6,3,8.9,6.6,15.5,51,114,23,23,40,66,33,0,40,12,28,27,193
Akor Adams,Montpellier,FW,24,1075,3,1,4.3,1.0,5.3,11,6,5,8,12,8,0,0,14,7,5,7,45
Andy Delort,Montpellier,FW,32,607,0,0,1.3,0.9,2.2,4,6,11,12,7,5,2,2,5,3,2,2,20
Arnaud Nordin,Montpellier,FW,26,1166,3,1,4.1,0.9,3.4,51,23,35,40,15,6,12,6,51,23,21,22,111
Jordan Ferri,Montpellier,MF,32,1773,0,2,0.4,0.9,1.3,19,137,25,30,13,119,11,4,28,9,16,2,42
Joris Chotard,Montpellier,MF,22,1892,1,0,1.3,0.5,1.7,20,80,30,10,7,80,11,4,16,8,13,0,35
Khalil Fayad,Montpellier,"MF,FW",20,1028,0,0,1.3,0.3,1.5,25,50,20,27,7,35,5,2,38,17,15,7,42
Musa Al-Taamari,Montpellier,"FW,MF",27,1116,2,1,2.6,1.5,4.1,55,30,14,26,12,12,12,1,71,23,29,25,76
Rabby Nzingoula,Montpellier,MF,18,1689,1,0,1.0,1.6,2.6,25,40,16,43,8,32,6,0,52,25,30,6,38
Tanguy Coulibaly,Montpellier,"FW,MF",23,1485,3,0,3.5,1.3,4.8,48,20,21,21,18,8,5,2,54,29,26,20,97
Téji Savanier,Montpellier,MF,32,2363,0,5,3.8,6.9,9.1,26,183,199,62,67,165,31,12,67,27,36,4,108
Wahbi Khazri,Montpellier,"FW,MF",33,1118,1,1,2.3,2.2,4.4,24,33,48,28,18,27,8,5,26,7,13,10,53
Douglas,Nantes,MF,27,2307,4,2,3.4,1.5,4.9,14,125,10,36,15,108,12,1,20,12,10,1,34
Johann Lepenant,Nantes,MF,21,2048,2,1,1.4,0.9,2.3,25,89,16,38,8,70,12,1,36,18,25,3,62
Matthis Abline,Nantes,FW,21,2768,8,2,8.5,3.8,11.5,75,48,30,53,27,23,15,4,86,35,42,42,169
Moses Simon,Nantes,"FW,MF",29,2609,4,10,5.8,6.7,9.4,147,59,222,51,56,27,41,24,147,65,81,60,222
Mostafa Mohamed,Nantes,FW,26,1252,5,0,5.5,0.4,5.9,11,20,4,36,6,16,6,0,26,12,15,2,50
Pedro Chirivella,Nantes,MF,27,2348,0,2,0.5,1.8,2.2,16,170,19,16,19,169,24,4,7,3,14,1,25
Sorba Thomas,Nantes,"FW,MF",24,1321,1,3,1.5,3.7,5.2,41,34,130,17,36,27,24,17,24,9,29,7,93
Badredine Bouanani,Nice,"MF,FW",19,1099,2,3,2.7,2.4,4.3,47,44,33,17,20,19,14,2,36,14,33,15,93
Baptiste Santamaria,Nice,MF,29,927,0,0,0.9,1.0,1.9,10,45,3,20,9,40,4,0,13,8,10,0,11
Evann Guessand,Nice,"FW,MF",23,2565,12,8,9.2,5.4,14.6,87,79,36,64,32,46,27,4,103,49,44,30,162
Gaëtan Laborde,Nice,FW,30,1829,7,4,11.7,3.5,12.0,30,40,27,18,27,26,12,2,37,18,16,13,131
Hicham Boudaoui,Nice,MF,24,2435,2,3,2.7,3.0,5.8,54,124,17,51,22,76,32,3,65,25,45,7,75
Jeremie Boga,Nice,"MF,FW",27,1054,1,2,2.3,2.8,5.1,64,39,21,17,24,11,18,4,64,25,37,24,75
Mohamed Ali Cho,Nice,"FW,MF",20,1621,3,4,4.0,4.0,7.9,81,59,51,41,30,23,36,5,70,20,39,30,133
Sofiane Diop,Nice,"MF,FW",24,1064,6,4,6.0,2.9,8.9,26,64,33,19,24,47,19,1,31,10,19,4,70
Tanguy Ndombele,Nice,MF,27,1131,1,2,2.4,2.4,4.8,22,61,3,28,18,41,8,0,47,25,8,6,36
Bradley Barcola,Paris S-G,FW,21,2181,14,10,13.4,10.1,23.5,137,96,25,22,50,28,51,4,137,34,65,95,374
Désiré Doué,Paris S-G,"FW,MF",19,1730,6,6,5.1,7.8,13.0,97,139,78,44,55,83,51,16,129,57,50,47,232
Fabián Ruiz Peña,Paris S-G,MF,28,1923,4,5,4.3,4.7,9.0,47,205,27,10,36,155,36,3,20,14,42,8,92
Gonçalo Ramos,Paris S-G,FW,23,1066,8,3,13.6,2.2,13.4,11,24,1,11,15,9,9,0,11,1,6,4,63
Khvicha Kvaratskhelia,Paris S-G,FW,23,916,4,3,3.3,4.9,8.2,50,43,33,18,25,32,20,4,53,25,37,28,131
Lee Kang-in,Paris S-G,"FW,MF",23,1663,6,6,3.5,5.6,9.1,50,143,94,28,56,103,43,7,51,29,45,18,138
Marco Asensio,Paris S-G,"FW,MF",28,618,2,4,5.6,2.7,8.3,19,36,13,4,16,31,4,1,8,4,13,9,49
Ousmane Dembélé,Paris S-G,FW,27,1730,20,6,16.6,8.2,24.0,127,137,80,14,63,93,55,3,95,42,87,66,252
Senny Mayulu,Paris S-G,MF,18,808,2,2,2.9,2.1,4.9,29,46,9,18,12,32,14,1,33,15,19,8,56
Vitinha,Paris S-G,MF,24,2042,3,1,3.4,2.6,4.4,53,224,21,12,27,257,37,3,40,27,59,9,57
Amadou Koné,Reims,MF,19,1293,0,0,0.5,0.3,0.9,19,68,3,52,8,53,8,0,25,15,15,0,12
Junya Ito,Reims,"FW,MF",31,2690,4,3,4.6,7.1,11.7,100,133,234,34,82,69,67,28,110,47,74,25,256
Keito Nakamura,Reims,"FW,MF",24,2649,11,2,9.1,2.9,12.1,90,82,56,8,26,32,24,10,78,30,45,33,197
Mamadou Diakhon,Reims,"FW,MF",18,858,2,1,1.0,1.1,2.2,61,17,33,22,13,5,6,3,61,25,37,32,77
Marshall Munetsi,Reims,MF,28,1692,4,2,4.0,2.0,5.9,8,26,11,31,19,14,5,2,12,6,7,2,48
Oumar Diakité,Reims,FW,20,1628,4,1,5.5,1.1,5.8,24,44,7,25,11,22,12,2,57,20,20,4,93
Teddy Teuma,Reims,MF,30,750,0,0,1.4,1.1,1.7,9,47,44,7,13,41,9,4,12,3,4,0,34
Valentin Atangana Edoa,Reims,MF,18,2854,1,0,2.5,1.1,3.6,41,93,17,50,12,66,8,1,48,14,35,8,38
Yaya Kader Fofana,Reims,"MF,FW",20,634,1,1,0.6,1.7,2.3,19,22,6,7,7,14,10,1,22,14,12,6,29
Albert Grønbaek,Rennes,"MF,FW",23,813,2,1,1.5,1.0,2.5,23,30,28,10,19,9,13,0,37,11,15,12,58
Amine Gouiri,Rennes,"MF,FW",24,1037,3,2,3.5,0.4,3.9,22,46,12,12,8,21,9,0,33,15,9,11,63
Arnaud Kalimuendo,Rennes,"FW,MF",22,2578,12,3,14.9,2.0,10.9,50,72,13,40,19,36,14,1,62,21,30,27,167
Azor Matusiwa,Rennes,MF,26,2078,1,3,1.2,1.8,3.1,19,134,1,32,17,109,18,1,22,17,17,3,26
Djaoui Cissé,Rennes,MF,20,1121,1,0,0.4,0.2,0.7,16,84,3,14,6,66,11,0,18,13,25,0,14
Glen Kamara,Rennes,MF,28,662,0,1,0.2,0.2,0.3,5,34,0,4,5,34,8,0,8,4,3,0,22
Jordan James,Rennes,MF,20,1178,0,1,0.9,1.9,2.8,21,67,34,15,24,55,12,2,21,9,9,6,15
Ludovic Blas,Rennes,"MF,FW",26,2293,6,8,5.0,4.6,9.6,83,116,124,54,47,76,33,9,116,44,46,31,184
Seko Fofana,Rennes,MF,29,844,1,1,1.8,1.2,2.9,32,72,5,7,13,38,13,2,24,12,18,5,38
Aimen Moueffek,Saint-Étienne,MF,23,1039,0,1,1.1,1.1,2.2,20,43,4,7,10,39,8,1,24,11,13,4,31
Augustine Boakye,Saint-Étienne,"FW,MF",23,733,3,0,1.8,0.9,2.7,25,35,5,7,13,14,11,0,24,13,20,9,60
Benjamin Bouchouari,Saint-Étienne,MF,22,1772,1,0,0.6,0.9,1.5,48,133,9,42,16,123,24,1,53,27,23,6,54
Florian Tardieu,Saint-Étienne,MF,32,1252,2,4,0.6,1.3,1.9,11,139,24,14,19,127,24,0,13,3,17,0,44
Ibrahim Sissoko,Saint-Étienne,FW,28,819,2,1,4.3,0.6,4.1,14,12,3,21,7,9,1,0,11,3,12,6,36
Irvin Cardona,Saint-Étienne,FW,26,1063,5,3,4.5,1.4,5.0,30,32,31,10,15,11,16,3,22,6,21,10,135
Louis Mouton,Saint-Étienne,MF,22,1045,0,1,1.3,1.3,2.6,18,54,21,7,16,42,13,1,24,12,9,2,51
Lucas Stassin,Saint-Étienne,FW,19,1887,12,4,7.0,3.4,10.4,26,35,19,26,18,13,12,1,36,15,13,13,149
Mathieu Cafaro,Saint-Étienne,"MF,FW",27,732,1,0,1.5,1.3,2.8,19,16,27,14,13,12,9,4,17,7,8,7,51
Mathis Amougou,Saint-Étienne,MF,18,859,0,0,0.5,0.4,0.8,8,36,1,8,7,23,4,0,16,5,11,2,17
Pierre Ekwah Elimby,Saint-Étienne,MF,22,2575,1,0,0.7,1.0,1.7,20,146,5,38,16,144,19,0,32,18,14,1,21
Zuriko Davitashvili,Saint-Étienne,"FW,MF",23,2778,7,8,8.1,4.7,11.3,95,73,85,40,50,38,23,4,123,46,56,47,224
Andrey Santos,Strasbourg,MF,20,2855,10,3,5.1,3.3,8.4,29,149,0,63,27,141,15,0,37,18,14,3,26
Emanuel Emegha,Strasbourg,FW,21,2293,14,3,17.0,2.4,19.4,37,14,0,37,18,4,4,0,28,7,20,32,104
Félix Lemaréchal,Strasbourg,"MF,FW",20,1779,4,3,3.5,2.9,6.4,35,58,26,12,29,35,10,4,48,24,22,8,90
Habib Diarra,Strasbourg,"MF,FW",20,2352,2,5,3.3,4.5,6.3,61,116,54,52,27,64,27,12,49,13,37,12,114
Sebastian Nanasi,Strasbourg,"MF,FW",22,2107,6,4,6.5,4.9,11.4,53,126,66,17,37,74,39,2,40,19,41,15,127
Sekou Mara,Strasbourg,"FW,MF",22,768,1,1,2.0,1.0,3.0,9,11,3,16,5,9,2,0,27,11,6,5,47
Cristian Cásseres Jr.,Toulouse,MF,24,2696,1,3,1.0,2.6,3.6,31,128,80,46,27,89,23,7,38,22,27,4,46
Frank Magri,Toulouse,"FW,MF",24,1516,5,1,6.0,1.5,7.5,17,25,4,28,9,15,7,1,18,4,8,7,80
Joshua King,Toulouse,"FW,MF",32,1673,6,3,6.6,2.0,8.7,39,29,9,27,17,13,10,1,64,35,24,15,108
Shavy Babicka,Toulouse,"MF,FW",24,1186,4,2,3.9,1.6,5.5,36,21,39,21,13,8,13,5,37,11,17,14,122
Vincent Sierro,Toulouse,MF,28,2402,3,1,4.2,3.6,6.3,15,147,64,31,30,102,26,1,28,12,21,5,27
Yann Gboho,Toulouse,"MF,FW",23,2333,5,4,5.4,3.5,8.9,116,103,26,61,30,53,28,0,122,50,74,37,189
Zakaria Aboukhlal,Toulouse,"MF,FW",24,1901,6,2,10.2,1.6,10.2,34,22,33,25,12,16,10,4,53,16,24,19,164
Alexis Claude-Maurice,Augsburg,"MF,FW",26,2109,9,2,4.7,1.2,5.9,59,61,21,42,21,38,21,5,90,42,47,9,102
Arne Maier,Augsburg,MF,25,938,0,0,1.5,1.5,3.0,19,44,67,7,25,40,10,3,16,7,18,5,56
Elvis Rexhbeçaj,Augsburg,MF,26,1785,1,1,1.4,1.1,2.5,31,94,71,42,16,39,23,2,32,10,26,8,82
Frank Onyeka,Augsburg,MF,26,2586,0,1,1.4,1.3,2.7,46,106,20,74,17,70,12,5,54,18,40,8,71
Fredrik Jensen,Augsburg,MF,26,763,0,0,0.7,0.7,1.4,16,20,20,5,11,8,7,3,13,7,8,3,58
Kristijan Jakić,Augsburg,MF,27,2306,0,1,0.8,1.2,2.0,24,106,13,28,16,95,11,0,29,14,13,3,49
Mert Kömür,Augsburg,MF,19,654,2,1,1.1,1.5,2.6,18,11,26,12,13,3,2,1,22,12,17,4,46
Phillip Tietz,Augsburg,FW,27,1686,6,2,6.1,1.2,6.5,8,29,1,12,22,18,9,1,31,15,12,4,113
Samuel Essende,Augsburg,FW,26,1636,7,2,4.2,1.3,5.5,33,21,5,34,11,11,6,2,52,14,19,20,118
Aleksandar Pavlovic,Bayern Munich,MF,20,1451,1,0,0.6,0.2,0.8,15,128,5,9,7,169,13,1,5,5,43,3,33
Harry Kane,Bayern Munich,FW,31,2381,17,9,20.3,5.3,18.6,29,97,13,21,35,56,36,2,53,23,19,21,143
Jamal Musiala,Bayern Munich,MF,21,1798,12,2,9.3,4.5,13.8,71,107,8,55,41,75,24,0,141,72,48,36,156
Joshua Kimmich,Bayern Munich,MF,29,2847,3,7,1.8,7.4,9.2,51,362,176,27,83,437,53,10,22,12,83,1,77
João Palhinha,Bayern Munich,MF,29,673,0,0,0.7,0.2,0.9,3,32,2,10,4,47,2,0,4,2,3,1,7
Kingsley Coman,Bayern Munich,FW,28,1282,5,4,4.3,3.3,7.6,66,45,45,12,32,26,28,5,74,39,33,28,215
Leroy Sané,Bayern Munich,FW,28,1637,11,5,10.2,5.5,15.8,75,64,51,25,36,24,35,7,100,39,47,38,266
Michael Olise,Bayern Munich,"FW,MF",22,2334,12,15,9.7,12.0,21.7,119,184,131,65,90,89,111,13,151,72,69,46,381
Serge Gnabry,Bayern Munich,"FW,MF",29,1242,7,5,7.5,5.1,11.9,44,48,22,6,24,21,21,2,40,18,22,25,149
Thomas Müller,Bayern Munich,"MF,FW",34,1225,1,4,3.8,2.9,6.7,24,50,46,12,35,24,24,12,17,8,19,7,143
Anthony Losilla,Bochum,MF,38,1137,0,0,0.1,0.4,0.5,3,45,4,9,7,23,9,3,5,1,3,1,11
Dani de Wit,Bochum,"MF,FW",26,1153,2,1,2.1,0.5,2.7,5,33,8,12,10,24,5,2,8,1,4,0,37
Giorgos Masouras,Bochum,"FW,MF",30,1055,2,1,3.9,1.1,5.0,26,19,26,10,10,11,7,4,14,5,7,13,82
Ibrahima Sissoko,Bochum,MF,26,2610,2,1,1.7,1.6,3.3,35,105,21,29,27,77,16,5,61,32,24,3,69
Matúš Bero,Bochum,MF,28,2565,5,2,4.0,3.7,6.7,29,143,124,34,54,104,35,4,55,19,37,9,111
Moritz Broschinski,Bochum,"FW,MF",23,1390,1,3,4.2,1.8,6.0,37,20,28,18,13,9,8,4,53,14,21,13,130
Myron Boadu,Bochum,FW,23,1042,8,1,7.7,1.1,8.0,12,18,3,6,11,7,5,1,23,11,9,7,70
