jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Joe Willock,Newcastle Utd,"MF,FW",1086,1.6,2.1,0,2,38,41,22,28,18,35,12,34.3% (12/35),79
Joelinton,Newcastle Utd,"MF,FW",2393,3.9,2.5,4,3,40,116,23,80,16,46,15,32.6% (15/46),156
Sandro Tonali,Newcastle Utd,MF,2630,4.4,2.2,4,2,37,128,28,104,54,37,20,54.1% (20/37),165
Sean Longstaff,Newcastle Utd,MF,798,0.6,0.2,0,0,4,40,4,26,5,7,2,28.6% (2/7),44
Anthony Elanga,Nott'ham Forest,"FW,MF",2501,4.5,5.7,6,11,102,63,50,32,185,83,25,30.1% (25/83),165
Callum Hudson-Odoi,Nott'ham Forest,"FW,MF",2194,2.5,2.7,5,2,130,71,44,38,79,63,37,58.7% (37/63),201
Chris Wood,Nott'ham Forest,FW,2959,13.4,2.6,17,3,14,42,22,19,1,13,4,30.8% (4/13),56
Elliot Anderson,Nott'ham Forest,MF,2728,2.1,3.3,2,6,52,143,37,121,86,75,36,48.0% (36/75),195
Jota Silva,Nott'ham Forest,"FW,MF",854,2.1,2.9,3,1,21,18,14,4,21,34,10,29.4% (10/34),39
Morgan Gibbs-White,Nott'ham Forest,MF,2803,6.3,5.0,7,8,69,164,51,128,45,77,31,40.3% (31/77),233
Nicolás Domínguez,Nott'ham Forest,"MF,FW",1963,1.5,1.3,0,1,16,83,13,81,7,9,3,33.3% (3/9),99
Ryan Yates,Nott'ham Forest,MF,1915,2.3,1.2,2,1,18,53,18,48,8,18,9,50.0% (9/18),71
Adam Armstrong,Southampton,"FW,MF",1248,3.3,1.2,2,2,25,21,9,10,14,14,6,42.9% (6/14),46
Cameron Archer,Southampton,FW,1441,5.7,0.5,2,0,22,14,5,7,3,37,15,40.5% (15/37),36
Flynn Downes,Southampton,MF,2151,0.6,1.1,1,0,29,66,15,62,4,20,8,40.0% (8/20),95
Kamaldeen Sulemana,Southampton,"FW,MF",1402,1.5,1.0,1,1,63,27,10,6,26,103,39,37.9% (39/103),90
Lesley Ugochukwu,Southampton,MF,1655,0.9,1.0,1,1,29,49,14,54,6,28,19,67.9% (19/28),78
Mateus Fernandes,Southampton,MF,2909,4.0,3.0,2,4,76,145,34,98,113,109,49,45.0% (49/109),221
Paul Onuachu,Southampton,FW,1050,3.6,0.5,4,1,7,13,8,13,0,26,8,30.8% (8/26),20
Tyler Dibling,Southampton,"FW,MF",1874,2.5,1.5,2,0,69,64,20,27,28,110,45,40.9% (45/110),133
William Smallbone,Southampton,MF,690,0.6,0.7,1,0,5,27,10,13,36,6,4,66.7% (4/6),32
Brennan Johnson,Tottenham,FW,2177,10.4,2.3,11,3,60,71,19,25,53,44,19,43.2% (19/44),131
Dejan Kulusevski,Tottenham,"MF,FW",2389,4.2,6.2,7,4,120,124,65,62,89,117,38,32.5% (38/117),244
Dominic Solanke,Tottenham,FW,2201,10.9,2.9,8,3,31,47,14,28,4,51,17,33.3% (17/51),78
James Maddison,Tottenham,MF,1809,5.8,4.2,9,7,45,164,41,123,98,77,33,42.9% (33/77),209
Lucas Bergvall,Tottenham,MF,1212,0.7,0.6,0,1,33,49,11,53,21,45,21,46.7% (21/45),82
