jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Carlo Boukhalfa,St. Pauli,MF,1646,1.5,1.1,2,0,10,41,11,27,10,28,12,42.9% (12/28),51
Danel Sinani,St. Pauli,"FW,MF",1250,1.7,3.0,2,2,16,60,24,45,67,22,10,45.5% (10/22),76
Elias Saad,St. Pauli,"FW,MF",900,2.8,0.8,3,2,29,27,14,17,14,54,16,29.6% (16/54),56
Jackson Irvine,St. Pauli,MF,2610,3.2,3.9,0,6,19,117,32,93,18,23,9,39.1% (9/23),136
Johannes Eggestein,St. Pauli,FW,1853,4.7,2.1,2,4,25,43,24,25,35,17,7,41.2% (7/17),68
Morgan Guilavogui,St. Pauli,"FW,MF",1807,7.1,1.9,6,2,42,41,27,29,13,48,21,43.8% (21/48),83
Noah Weißhaupt,St. Pauli,"FW,MF",1160,2.1,1.8,1,0,42,33,18,19,72,38,13,34.2% (13/38),75
Oladapo Afolayan,St. Pauli,"FW,MF",1639,3.1,3.8,3,1,53,32,21,23,53,98,48,49.0% (48/98),85
Angelo Stiller,Stuttgart,MF,2741,1.8,7.2,1,8,39,289,59,271,95,30,20,66.7% (20/30),328
Atakan Karazor,Stuttgart,MF,2618,2.3,2.6,2,4,19,140,15,150,4,21,12,57.1% (12/21),159
Chris Führich,Stuttgart,"MF,FW",1981,2.9,3.7,2,3,114,95,32,39,82,85,40,47.1% (40/85),209
Deniz Undav,Stuttgart,"FW,MF",1726,11.7,3.6,9,3,31,70,26,38,11,24,10,41.7% (10/24),101
Enzo Millot,Stuttgart,"MF,FW",1843,7.6,3.1,6,5,44,118,23,89,41,67,31,46.3% (31/67),162
Ermedin Demirović,Stuttgart,FW,1855,14.1,1.9,15,1,20,31,18,15,3,25,5,20.0% (5/25),51
Fabian Rieder,Stuttgart,"MF,FW",867,1.4,2.0,1,3,20,38,12,26,39,19,9,47.4% (9/19),58
Jamie Leweling,Stuttgart,"MF,FW",1663,1.6,3.8,2,2,55,51,25,25,58,82,41,50.0% (41/82),106
Nick Woltemade,Stuttgart,"FW,MF",1622,10.2,4.6,10,2,31,52,37,31,6,71,31,43.7% (31/71),83
Aljoscha Kemlein,Union Berlin,MF,922,0.9,0.6,1,0,5,42,10,28,5,9,6,66.7% (6/9),47
Andrej Ilic,Union Berlin,FW,937,4.9,0.3,6,0,5,13,6,16,3,7,1,14.3% (1/7),18
András Schäfer,Union Berlin,MF,1534,0.6,0.9,1,1,23,55,10,30,17,29,13,44.8% (13/29),78
Benedict Hollerbach,Union Berlin,"FW,MF",2540,7.0,1.6,9,1,103,68,26,24,73,115,42,36.5% (42/115),171
Jeong Woo-yeong,Union Berlin,"MF,FW",1263,2.8,1.7,3,2,32,63,18,30,36,21,12,57.1% (12/21),95
Jordan Pefok,Union Berlin,FW,908,3.2,0.9,0,1,3,12,14,7,0,13,7,53.8% (7/13),15
Rani Khedira,Union Berlin,MF,2723,1.4,0.6,1,1,12,80,12,66,22,11,5,45.5% (5/11),92
Tim Skarke,Union Berlin,"FW,MF",1164,2.1,1.2,0,2,26,25,16,12,29,24,10,41.7% (10/24),51
Yorbe Vertessen,Union Berlin,"MF,FW",718,1.3,1.6,1,0,18,16,15,6,23,51,19,37.3% (19/51),34
Jens Stage,Werder Bremen,MF,2204,7.2,2.8,10,5,28,104,23,67,23,17,8,47.1% (8/17),132
Justin Njinmah,Werder Bremen,"FW,MF",952,3.7,1.6,3,2,33,23,12,8,19,27,11,40.7% (11/27),56
Leonardo Bittencourt,Werder Bremen,MF,982,1.6,1.6,2,1,19,64,14,56,22,5,1,20.0% (1/5),83
Marco Grüll,Werder Bremen,"FW,MF",1181,4.0,1.8,6,1,24,38,11,22,21,39,13,33.3% (13/39),62
Marvin Ducksch,Werder Bremen,FW,2418,10.1,8.5,7,8,26,86,61,43,167,19,7,36.8% (7/19),112
Oliver Burke,Werder Bremen,FW,908,4.1,1.7,5,0,22,15,14,5,20,12,7,58.3% (7/12),37
Romano Schmid,Werder Bremen,MF,2834,4.3,6.2,4,4,107,279,68,170,145,95,45,47.4% (45/95),386
Senne Lynen,Werder Bremen,MF,2733,1.1,0.6,0,1,9,91,8,81,5,28,12,42.9% (12/28),100
Bence Dárdai,Wolfsburg,MF,1304,1.0,1.0,1,1,5,39,11,35,10,12,3,25.0% (3/12),44
Jonas Wind,Wolfsburg,"FW,MF",1966,5.7,4.2,8,3,17,100,34,66,7,20,6,30.0% (6/20),117
Mattias Svanberg,Wolfsburg,MF,1219,3.6,1.7,3,1,11,36,13,36,35,25,10,40.0% (10/25),47
Maximilian Arnold,Wolfsburg,MF,2356,0.9,3.5,3,5,9,128,45,132,152,6,1,16.7% (1/6),137
Mohamed Amoura,Wolfsburg,FW,2467,8.7,4.0,8,9,81,61,35,29,35,91,37,40.7% (37/91),142
Patrick Wimmer,Wolfsburg,"MF,FW",1770,3.7,2.9,3,4,46,91,24,55,42,69,37,53.6% (37/69),137
Ridle Baku,Wolfsburg,"FW,MF",1170,1.5,1.3,2,1,16,44,13,33,37,20,9,45.0% (9/20),60
Tiago Tomás,Wolfsburg,"FW,MF",1884,5.4,2.6,6,1,31,50,20,33,22,80,29,36.2% (29/80),81
Ademola Lookman,Atalanta,"MF,FW",2247,10.3,7.1,14,5,142,73,61,29,124,104,37,35.6% (37/104),215
Charles De Ketelaere,Atalanta,"MF,FW",2070,7.3,6.0,7,7,108,140,39,81,56,95,43,45.3% (43/95),248
Lazar Samardzic,Atalanta,MF,1169,2.0,2.9,2,1,54,92,35,60,60,60,27,45.0% (27/60),146
Marco Brescianini,Atalanta,MF,991,3.1,1.0,4,2,46,36,7,27,18,26,8,30.8% (8/26),82
Mario Pašalić,Atalanta,MF,1967,6.6,3.3,3,4,44,149,32,132,11,18,5,27.8% (5/18),193
Mateo Retegui,Atalanta,FW,2383,18.9,4.9,21,8,21,46,38,29,15,30,12,40.0% (12/30),67
Éderson,Atalanta,MF,2881,4.1,4.3,4,1,40,216,37,193,23,52,23,44.2% (23/52),256
Benjamín Domínguez,Bologna,FW,1281,2.2,0.8,3,2,50,32,10,12,11,74,28,37.8% (28/74),82
Dan Ndoye,Bologna,FW,2143,7.0,3.8,6,4,132,74,27,39,44,96,37,38.5% (37/96),206
Giovanni Fabbian,Bologna,MF,1023,2.3,1.3,3,1,14,17,9,15,9,16,2,12.5% (2/16),31
Jens Odgaard,Bologna,"MF,FW",1952,3.6,1.8,6,1,35,50,16,34,24,53,15,28.3% (15/53),85
Lewis Ferguson,Bologna,MF,983,1.0,1.1,0,1,20,53,14,57,18,9,5,55.6% (5/9),73
Michel Aebischer,Bologna,MF,724,0.4,0.4,0,0,8,33,8,41,14,6,3,50.0% (3/6),41
Nicolò Cambiaghi,Bologna,FW,620,0.8,1.9,1,3,45,25,12,9,47,25,11,44.0% (11/25),70
Nikola Moro,Bologna,MF,1208,0.5,0.8,0,2,17,93,20,98,33,12,7,58.3% (7/12),110
Remo Freuler,Bologna,MF,3204,1.3,1.5,1,2,39,208,36,204,19,13,5,38.5% (5/13),247
Riccardo Orsolini,Bologna,FW,1878,10.1,3.7,12,4,61,69,30,34,70,73,33,45.2% (33/73),130
Santiago Castro,Bologna,FW,2294,7.7,2.9,8,4,17,39,28,23,8,43,18,41.9% (18/43),56
Thijs Dallinga,Bologna,FW,1154,4.3,0.6,3,2,9,17,12,14,3,11,2,18.2% (2/11),26
Tommaso Pobega,Bologna,MF,1178,2.1,1.4,2,2,12,42,12,51,8,8,3,37.5% (3/8),54
Alessandro Deiola,Cagliari,MF,1432,1.7,0.6,2,1,11,40,6,45,14,4,3,75.0% (3/4),51
Antoine Makoumbou,Cagliari,MF,2150,0.3,0.9,0,3,11,92,8,70,7,19,10,52.6% (10/19),103
Gianluca Gaetano,Cagliari,"MF,FW",1009,4.9,2.2,2,4,11,41,22,27,24,27,14,51.9% (14/27),52
Mattia Felici,Cagliari,"MF,FW",925,0.6,1.0,0,3,39,19,10,12,25,57,19,33.3% (19/57),58
Michel Ndary Adopo,Cagliari,MF,2409,1.1,2.3,1,1,20,106,19,90,8,42,19,45.2% (19/42),126
Nicolas Viola,Cagliari,"FW,MF",1267,2.2,1.9,3,1,21,46,28,34,79,30,11,36.7% (11/30),67
Roberto Piccoli,Cagliari,FW,3127,12.7,0.9,9,1,30,37,13,32,8,63,14,22.2% (14/63),67
Răzvan Marin,Cagliari,MF,1406,2.4,3.6,1,2,22,84,34,56,77,24,13,54.2% (13/24),106
Zito Luvumbo,Cagliari,"FW,MF",1606,2.1,3.1,2,2,70,31,17,16,65,63,25,39.7% (25/63),101
Assane Diao,Como,"FW,MF",1252,4.0,0.4,8,1,50,36,8,13,12,72,19,26.4% (19/72),86
Gabriel Strefezza,Como,"FW,MF",2619,3.7,3.9,6,4,80,106,57,67,123,82,36,43.9% (36/82),186
Lucas Da Cunha,Como,MF,2613,2.0,3.8,3,2,63,154,55,140,102,30,12,40.0% (12/30),217
Maxence Caqueret,Como,MF,1087,0.8,1.5,2,3,15,76,19,67,16,33,14,42.4% (14/33),91
Máximo Perrone,Como,MF,1857,0.9,2.2,0,3,16,98,30,97,4,8,3,37.5% (3/8),114
Nicolás Paz,Como,"MF,FW",2687,9.3,6.0,6,8,77,163,54,116,41,135,69,51.1% (69/135),240
Patrick Cutrone,Como,FW,2047,7.1,2.1,7,4,53,31,19,16,30,24,9,37.5% (9/24),84
Sergi Roberto,Como,MF,696,0.7,0.7,0,1,10,36,15,28,6,10,3,30.0% (3/10),46
Alberto Grassi,Empoli,MF,2203,1.0,0.8,1,0,18,74,7,65,10,12,5,41.7% (5/12),92
Faustino Anjorin,Empoli,MF,1114,0.9,1.7,2,3,28,55,17,44,17,41,16,39.0% (16/41),83
Jacopo Fazzini,Empoli,MF,1383,3.1,0.5,4,1,34,49,12,27,32,48,23,47.9% (23/48),83
Liam Henderson,Empoli,MF,2337,0.7,3.9,0,4,18,108,33,93,98,11,6,54.5% (6/11),126
Lorenzo Colombo,Empoli,"FW,MF",2233,5.9,2.9,5,2,27,48,21,25,10,50,24,48.0% (24/50),75
Ola Solbakken,Empoli,"MF,FW",760,0.8,0.4,0,0,18,20,9,14,7,15,7,46.7% (7/15),38
Sebastiano Esposito,Empoli,"FW,MF",2331,5.7,2.1,7,0,31,93,36,57,55,67,29,43.3% (29/67),124
Youssef Maleh,Empoli,MF,1510,0.9,0.9,0,1,10,72,12,62,16,13,4,30.8% (4/13),82
Albert Guðmundsson,Fiorentina,"FW,MF",1273,4.5,1.8,4,1,35,37,15,34,24,27,15,55.6% (15/27),72
Amir Richardson,Fiorentina,MF,1099,0.9,0.6,1,1,19,47,8,46,5,19,11,57.9% (11/19),66
Andrea Colpani,Fiorentina,"FW,MF",1450,2.7,1.3,2,1,37,57,17,19,33,27,12,44.4% (12/27),94
Christian Kouamé,Fiorentina,"FW,MF",622,1.1,1.5,0,1,7,16,9,10,6,20,7,35.0% (7/20),23
Danilo Cataldi,Fiorentina,MF,1728,1.1,0.8,3,0,18,90,15,83,21,10,3,30.0% (3/10),108
Edoardo Bove,Fiorentina,"MF,FW",851,0.6,1.5,1,2,12,37,11,18,2,16,7,43.8% (7/16),49
Lucas Beltrán,Fiorentina,"FW,MF",1953,5.4,3.0,3,4,23,64,29,38,7,30,15,50.0% (15/30),87
Michael Folorunsho,Fiorentina,"FW,MF",650,1.1,0.6,0,0,13,21,3,13,21,18,9,50.0% (9/18),34
Moise Kean,Fiorentina,FW,2704,19.4,1.9,18,3,42,26,19,15,9,101,44,43.6% (44/101),68
Nicolò Fagioli,Fiorentina,MF,962,0.5,3.0,1,2,15,50,23,45,27,22,10,45.5% (10/22),65
Riccardo Sottil,Fiorentina,"FW,MF",833,0.9,0.9,1,1,71,18,12,5,41,27,11,40.7% (11/27),89
Rolando Mandragora,Fiorentina,MF,1931,2.7,4.8,3,3,11,92,31,69,40,14,7,50.0% (7/14),103
Yacine Adli,Fiorentina,MF,1234,1.0,2.4,4,6,24,103,23,84,63,32,12,37.5% (12/32),127
Andrea Pinamonti,Genoa,FW,2850,7.7,1.7,10,1,20,46,15,24,17,23,11,47.8% (11/23),66
Fabio Miretti,Genoa,"MF,FW",1677,3.1,2.0,3,3,33,54,22,24,61,73,25,34.2% (25/73),87
Jeff Ekhator,Genoa,"FW,MF",769,1.3,1.0,1,1,4,14,11,8,10,13,4,30.8% (4/13),18
Junior Messias,Genoa,"MF,FW",847,2.4,0.7,1,1,32,32,8,23,22,44,10,22.7% (10/44),64
Milan Badelj,Genoa,MF,1472,1.0,1.1,1,0,8,83,12,73,5,20,9,45.0% (9/20),91
Morten Frendrup,Genoa,MF,3103,1.6,0.9,2,0,24,106,14,79,3,24,10,41.7% (10/24),130
Morten Thorsby,Genoa,"MF,FW",1898,2.8,2.1,0,1,24,58,27,45,9,22,9,40.9% (9/22),82
Patrizio Masini,Genoa,MF,1538,0.4,0.2,1,0,16,44,6,29,26,25,10,40.0% (10/25),60
Vitinha,Genoa,"FW,MF",1328,1.6,3.3,2,3,38,19,16,12,45,68,22,32.4% (22/68),57
Amin Sarr,Hellas Verona,FW,1907,3.2,2.1,4,1,31,41,22,26,7,33,14,42.4% (14/33),72
Casper Tengstedt,Hellas Verona,FW,1517,5.3,0.9,5,1,29,29,12,11,10,27,9,33.3% (9/27),58
Cheikh Tidiane Niasse,Hellas Verona,MF,755,0.4,0.1,0,0,5,25,4,16,2,7,1,14.3% (1/7),30
Dailon Livramento,Hellas Verona,"FW,MF",940,1.8,0.9,1,1,23,13,8,9,18,25,6,24.0% (6/25),36
Daniel Mosquera,Hellas Verona,FW,1375,6.6,1.3,5,1,17,25,12,21,2,25,16,64.0% (16/25),42
Grigoris Kastanos,Hellas Verona,"MF,FW",872,1.0,1.7,1,1,12,34,12,30,23,15,0,0.0% (0/15),46
Ondrej Duda,Hellas Verona,MF,2395,1.0,3.2,1,3,23,117,32,101,89,42,25,59.5% (25/42),140
Reda Belahyane,Hellas Verona,MF,1658,0.2,1.0,0,2,22,73,16,71,3,52,33,63.5% (33/52),95
Suat Serdar,Hellas Verona,MF,1376,1.9,1.0,2,1,18,56,10,47,9,37,19,51.4% (19/37),74
Tomáš Suslov,Hellas Verona,"MF,FW",2080,1.6,1.9,0,1,39,82,27,40,49,77,36,46.8% (36/77),121
Davide Frattesi,Inter,MF,1225,4.0,0.8,5,1,23,31,7,20,8,18,7,38.9% (7/18),54
Hakan Çalhanoğlu,Inter,MF,1947,4.4,5.6,2,6,52,173,49,144,122,7,3,42.9% (3/7),225
Henrikh Mkhitaryan,Inter,MF,2396,1.5,2.7,1,4,72,199,29,156,24,26,7,26.9% (7/26),271
Joaquín Correa,Inter,"FW,MF",731,2.1,2.0,2,2,22,42,10,24,8,10,6,60.0% (6/10),64
Kristjan Asllani,Inter,MF,988,2.5,1.9,0,2,7,55,15,74,43,6,1,16.7% (1/6),62
Lautaro Martínez,Inter,FW,2564,13.5,4.3,12,3,34,68,36,41,13,47,17,36.2% (17/47),102
Marcus Thuram,Inter,FW,2290,9.9,4.4,14,4,62,53,39,24,13,53,24,45.3% (24/53),115
Mehdi Taremi,Inter,FW,816,3.5,1.6,0,2,10,25,15,12,1,11,6,54.5% (6/11),35
Nicolò Barella,Inter,MF,2493,2.2,4.5,3,6,63,235,55,172,68,57,23,40.4% (23/57),298
Piotr Zieliński,Inter,MF,980,2.6,0.9,0,2,26,65,14,77,28,18,6,33.3% (6/18),91
Dušan Vlahović,Juventus,FW,1784,12.3,1.3,6,4,27,22,15,11,9,28,9,32.1% (9/28),49
Francisco Conceição,Juventus,"FW,MF",1340,2.3,4.3,3,3,95,35,28,16,62,79,35,44.3% (35/79),130
Kenan Yıldız,Juventus,"FW,MF",2402,4.3,5.0,7,4,115,121,57,70,115,111,59,53.2% (59/111),236
Khéphren Thuram,Juventus,MF,2326,3.5,3.6,4,5,74,123,25,124,13,70,39,55.7% (39/70),197
Manuel Locatelli,Juventus,MF,2822,1.8,2.5,1,2,33,294,29,327,24,22,8,36.4% (8/22),327
Nicolás González,Juventus,"FW,MF",1750,4.1,1.1,3,2,35,69,19,28,15,53,17,32.1% (17/53),104
Randal Kolo Muani,Juventus,FW,1160,4.7,1.6,7,1,21,20,17,8,8,44,18,40.9% (18/44),41
Samuel Mbangula,Juventus,FW,709,0.6,1.4,3,3,25,17,15,15,17,27,9,33.3% (9/27),42
Teun Koopmeiners,Juventus,"MF,FW",1994,3.9,2.9,3,3,32,89,38,63,113,22,10,45.5% (10/22),121
Boulaye Dia,Lazio,"MF,FW",2177,7.1,4.2,9,3,23,51,26,37,2,42,17,40.5% (17/42),74
Fisayo Dele-Bashiru,Lazio,"MF,FW",947,1.1,0.8,3,1,23,26,10,23,7,22,14,63.6% (14/22),49
Gustav Isaksen,Lazio,FW,2210,5.2,2.1,4,2,95,46,35,19,110,105,44,41.9% (44/105),141
Loum Tchaouna,Lazio,"FW,MF",660,2.5,0.6,1,0,22,20,10,9,32,10,5,50.0% (5/10),42
Mattia Zaccagni,Lazio,FW,2686,6.4,4.6,6,6,91,114,55,51,156,96,44,45.8% (44/96),205
Mattéo Guendouzi,Lazio,MF,3270,1.4,3.2,1,3,89,316,43,287,21,25,15,60.0% (15/25),405
Matías Vecino,Lazio,MF,877,2.3,2.4,2,3,4,29,11,32,2,1,1,100.0% (1/1),33
Nicolò Rovella,Lazio,MF,2718,1.5,2.2,0,3,45,159,31,174,37,25,18,72.0% (18/25),204
Pedro,Lazio,"FW,MF",1102,5.3,1.7,8,1,48,76,22,53,65,32,16,50.0% (16/32),124
Tijjani Noslin,Lazio,"FW,MF",861,2.0,1.6,2,2,13,16,12,12,15,19,8,42.1% (8/19),29
Valentín Castellanos,Lazio,FW,2384,13.4,3.6,8,3,27,66,26,48,25,37,16,43.2% (16/37),93
Ante Rebić,Lecce,"FW,MF",788,2.1,2.1,1,0,17,36,18,18,32,30,8,26.7% (8/30),53
Balthazar Pierret,Lecce,MF,1723,0.2,0.4,0,0,13,82,10,80,9,24,13,54.2% (13/24),95
Hamza Rafia,Lecce,MF,1058,0.5,1.4,0,0,13,51,16,47,45,22,10,45.5% (10/22),64
Lameck Banda,Lecce,"FW,MF",610,1.2,1.1,0,1,27,7,11,3,26,28,10,35.7% (10/28),34
Lassana Coulibaly,Lecce,MF,2667,0.8,0.9,1,0,21,93,12,68,13,38,18,47.4% (18/38),114
Medon Berisha,Lecce,MF,716,0.7,0.6,0,1,13,42,11,46,29,9,3,33.3% (3/9),55
Nikola Krstović,Lecce,FW,3057,12.1,2.9,9,5,42,56,30,38,8,65,17,26.2% (17/65),98
Santiago Pierotti,Lecce,FW,1937,3.1,2.4,4,2,43,38,25,27,17,49,22,44.9% (22/49),81
Tete Morente,Lecce,"FW,MF",2021,2.9,1.6,3,2,48,102,25,54,56,55,30,54.5% (30/55),150
Ylber Ramadani,Lecce,MF,1807,0.6,1.1,1,1,9,60,16,52,6,24,13,54.2% (13/24),69
Þórir Jóhann Helgason,Lecce,MF,1156,1.2,1.1,0,4,20,38,22,23,71,14,8,57.1% (8/14),58
Christian Pulisic,Milan,"FW,MF",2478,12.0,6.4,8,9,121,105,69,56,119,87,39,44.8% (39/87),226
João Félix,Milan,MF,760,2.7,1.2,2,0,20,40,10,31,5,35,15,42.9% (15/35),60
Rafael Leão,Milan,FW,2323,7.6,8.4,8,8,123,93,58,37,55,129,59,45.7% (59/129),216
Ruben Loftus-Cheek,Milan,MF,1037,0.7,1.9,0,0,27,51,16,40,7,23,11,47.8% (11/23),78
Samuel Chukwueze,Milan,"FW,MF",925,2.7,3.0,3,2,48,36,27,18,50,47,26,55.3% (26/47),84
Santiago Giménez,Milan,FW,669,4.8,0.9,5,2,13,6,6,5,2,19,7,36.8% (7/19),19
Tammy Abraham,Milan,FW,1183,7.1,2.2,2,4,8,26,14,13,3,14,4,28.6% (4/14),34
Tijjani Reijnders,Milan,MF,3128,7.5,3.5,10,4,111,230,47,135,46,71,36,50.7% (36/71),341
Youssouf Fofana,Milan,MF,2504,1.3,3.4,1,6,44,176,23,140,10,31,14,45.2% (14/31),220
Yunus Musah,Milan,"MF,FW",1571,1.9,1.8,0,2,51,84,23,60,24,37,21,56.8% (21/37),135
Álvaro Morata,Milan,"FW,MF",1099,3.9,0.8,5,0,18,26,7,15,13,17,6,35.3% (6/17),44
Alessandro Bianco,Monza,MF,2600,1.3,1.2,1,0,35,125,18,139,23,41,17,41.5% (17/41),160
Daniel Maldini,Monza,"MF,FW",1306,4.8,0.9,3,0,41,34,12,14,38,72,30,41.7% (30/72),75
Dany Mota,Monza,"FW,MF",2104,5.1,1.8,5,2,53,47,22,27,38,39,13,33.3% (13/39),100
Gianluca Caprari,Monza,"MF,FW",1651,4.2,2.4,1,2,43,81,30,39,80,40,10,25.0% (10/40),124
Jean-Daniel Akpa-Akpro,Monza,MF,966,0.3,0.2,0,0,21,19,3,19,6,38,12,31.6% (12/38),40
Keita Baldé,Monza,FW,638,1.1,0.2,2,0,19,35,4,19,6,16,5,31.2% (5/16),54
Matteo Pessina,Monza,MF,854,0.2,0.1,0,0,8,28,4,31,6,10,5,50.0% (5/10),36
Milan Đurić,Monza,FW,1270,2.9,1.1,4,1,2,21,5,16,0,6,4,66.7% (4/6),23
Warren Bondo,Monza,MF,1618,0.4,0.3,0,0,25,39,5,35,7,40,20,50.0% (20/40),64
Andre-Frank Zambo Anguissa,Napoli,MF,2852,4.4,2.4,6,4,24,144,26,128,23,47,25,53.2% (25/47),168
Billy Gilmour,Napoli,MF,1177,0.5,1.8,0,1,11,67,21,65,18,10,5,50.0% (5/10),78
David Neres,Napoli,FW,1283,2.7,3.5,2,4,73,32,26,23,92,75,33,44.0% (33/75),105
Giacomo Raspadori,Napoli,"FW,MF",1103,4.0,2.4,6,1,18,42,28,27,67,14,9,64.3% (9/14),60
Khvicha Kvaratskhelia,Napoli,"FW,MF",1178,4.1,3.7,4,3,74,57,28,31,51,72,19,26.4% (19/72),131
Matteo Politano,Napoli,"FW,MF",2804,3.1,4.8,3,4,135,129,56,65,229,80,32,40.0% (32/80),264
Romelu Lukaku,Napoli,FW,2843,13.0,4.0,11,10,31,36,35,15,4,26,6,23.1% (6/26),67
Scott McTominay,Napoli,MF,2938,7.4,2.7,12,4,56,112,26,72,11,88,39,44.3% (39/88),168
Stanislav Lobotka,Napoli,MF,2636,0.3,1.2,0,1,30,118,17,110,2,11,8,72.7% (8/11),148
Adrian Bernabe,Parma,MF,1453,1.3,1.1,1,1,37,115,22,103,29,33,15,45.5% (15/33),152
Ange-Yoan Bonny,Parma,FW,2529,9.4,2.9,4,4,41,53,30,31,14,67,33,49.3% (33/67),94
Dennis Man,Parma,"FW,MF",1995,5.5,4.2,4,4,67,60,45,46,33,75,25,33.3% (25/75),127
Hernani,Parma,MF,1327,2.8,1.5,0,3,29,78,25,45,33,24,8,33.3% (8/24),107
Mandela Keita,Parma,MF,1826,0.1,1.0,0,2,13,50,15,55,0,31,17,54.8% (17/31),63
Mateo Pellegrino,Parma,FW,737,3.3,0.7,3,1,6,15,5,11,4,9,3,33.3% (3/9),21
Matteo Cancellieri,Parma,"FW,MF",1424,2.7,0.7,3,0,40,24,11,16,21,70,28,40.0% (28/70),64
Nahuel Estévez,Parma,MF,657,0.1,0.8,0,0,3,30,6,26,16,3,3,100.0% (3/3),33
Pontus Almqvist,Parma,"FW,MF",1112,2.1,1.3,1,1,42,12,10,4,11,50,20,40.0% (20/50),54
Simon Sohm,Parma,MF,2989,3.1,2.1,4,0,69,140,20,122,15,35,15,42.9% (15/35),209
Valentin Mihaila,Parma,"FW,MF",1288,2.4,1.2,0,3,25,41,17,28,33,27,10,37.0% (10/27),66
Artem Dovbyk,Roma,FW,2418,11.9,2.4,10,2,24,16,25,17,1,18,7,38.9% (7/18),40
Bryan Cristante,Roma,MF,2045,2.1,1.4,4,2,25,145,18,143,15,14,6,42.9% (6/14),170
Eldor Shomurodov,Roma,"FW,MF",1097,4.7,1.3,4,4,19,21,17,10,6,28,8,28.6% (8/28),40
Leandro Paredes,Roma,MF,1373,2.3,1.5,1,1,17,106,21,110,57,3,3,100.0% (3/3),123
Lorenzo Pellegrini,Roma,MF,1626,4.7,2.5,1,1,27,61,27,35,49,27,11,40.7% (11/27),88
Manu Koné,Roma,MF,2572,3.4,1.7,2,1,70,144,19,113,2,72,30,41.7% (30/72),214
Niccolò Pisilli,Roma,MF,1227,2.7,0.7,2,1,22,63,10,67,10,14,5,35.7% (5/14),85
Paulo Dybala,Roma,"FW,MF",1417,6.4,5.0,3,3,41,79,40,47,62,43,11,25.6% (11/43),120
Tommaso Baldanzi,Roma,"MF,FW",832,1.4,1.0,1,1,39,23,10,22,7,39,17,43.6% (17/39),62
Antonio Sanabria,Torino,FW,1318,2.9,0.5,2,1,6,18,9,13,0,11,6,54.5% (6/11),24
Cesare Casadei,Torino,MF,1017,1.2,0.4,1,1,14,36,7,35,2,10,7,70.0% (7/10),50
Che Adams,Torino,FW,2652,9.0,2.0,9,3,23,40,26,32,10,37,11,29.7% (11/37),63
Elif Elmas,Torino,"FW,MF",1021,1.4,0.4,4,0,42,34,9,22,23,38,13,34.2% (13/38),76
Gvidas Gineitis,Torino,MF,1430,1.3,2.0,3,1,15,36,21,38,51,17,8,47.1% (8/17),51
Ivan Ilić,Torino,MF,920,0.9,1.1,1,0,24,45,9,39,27,15,6,40.0% (6/15),69
Karol Linetty,Torino,MF,1540,1.1,0.9,1,0,18,47,10,45,4,21,7,33.3% (7/21),65
Nikola Vlašić,Torino,"MF,FW",2117,3.4,2.4,3,4,53,94,32,57,26,48,24,50.0% (24/48),147
Samuele Ricci,Torino,MF,2825,1.3,0.6,1,1,43,116,15,102,30,22,6,27.3% (6/22),159
Yann Karamoh,Torino,"MF,FW",1046,1.2,0.9,0,1,37,28,9,8,23,38,12,31.6% (12/38),65
Arthur Atta,Udinese,"MF,FW",1251,1.3,1.4,0,1,31,57,18,42,24,61,27,44.3% (27/61),88
Florian Thauvin,Udinese,"FW,MF",1956,8.1,3.8,7,3,92,90,39,58,168,92,39,42.4% (39/92),182
Iker Bravo,Udinese,"FW,MF",682,0.9,0.4,2,1,7,18,7,10,8,29,11,37.9% (11/29),25
Jesper Karlström,Udinese,MF,3186,0.7,1.1,0,3,23,135,21,139,15,15,6,40.0% (6/15),158
Jurgen Ekkelenkamp,Udinese,MF,1892,2.8,1.3,3,2,34,72,15,42,12,30,10,33.3% (10/30),106
Keinan Davis,Udinese,FW,1066,2.9,2.1,2,1,26,22,20,13,3,35,17,48.6% (17/35),48
Lorenzo Lucca,Udinese,FW,2353,7.6,1.6,11,1,15,18,14,17,5,25,12,48.0% (12/25),33
Martín Payero,Udinese,MF,1381,1.2,1.3,1,1,33,51,15,46,39,70,30,42.9% (30/70),84
Oier Zarraga,Udinese,MF,896,0.4,0.4,1,0,7,28,6,27,20,5,2,40.0% (2/5),35
Sandi Lovrić,Udinese,MF,2308,2.6,3.4,2,3,60,120,32,81,90,48,21,43.8% (21/48),180
Alfred Duncan,Venezia,MF,957,0.8,1.1,0,0,11,53,11,37,17,22,13,59.1% (13/22),64
Christian Gytkjær,Venezia,FW,754,2.4,0.5,1,1,3,5,7,5,1,5,1,20.0% (1/5),8
Gaetano Oristanio,Venezia,"FW,MF",2315,4.1,2.6,3,3,72,64,33,32,59,123,55,44.7% (55/123),136
Gianluca Busio,Venezia,MF,2518,2.4,1.6,2,0,60,95,28,46,29,48,15,31.2% (15/48),155
Hans Nicolussi Caviglia,Venezia,MF,2861,2.4,2.1,4,2,20,140,29,123,72,50,17,34.0% (17/50),160
