jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros
Alex Král,Espanyol,MF,26,2714,49,78,1,0,0,31,28,127,38,28,57.6,55,37,51,2
Edu Expósito,Espanyol,MF,27,1045,23,64,3,0,0,14,15,63,11,11,50.0,23,13,21,2
Pol Lozano,Espanyol,MF,24,1943,18,115,12,0,0,56,22,86,10,16,38.5,53,34,31,0
Urko González,Espanyol,MF,23,1374,18,62,2,0,0,15,8,71,20,15,57.1,46,28,39,1
Luis Milla,Getafe,MF,29,2875,32,152,6,0,0,38,24,168,31,35,47.0,61,40,28,3
Mauro Arambarri,Getafe,MF,28,2661,17,75,10,0,0,51,15,137,59,54,52.2,48,29,46,0
Arthur Melo,Girona,MF,27,941,24,70,2,0,0,16,8,49,0,3,0.0,25,11,12,1
Donny van de Beek,Girona,MF,27,1421,17,45,5,0,0,22,10,48,10,9,52.6,29,18,12,0
Iván Martín,Girona,MF,25,2039,57,131,1,0,0,21,11,110,4,18,18.2,32,19,15,1
Oriol Romeu,Girona,MF,32,1356,22,73,5,0,0,28,12,71,13,18,41.9,38,25,20,4
Yangel Herrera,Girona,MF,26,2257,31,110,10,1,0,72,31,106,50,45,52.6,66,39,50,2
Dario Essugo,Las Palmas,MF,19,1938,18,76,11,2,2,37,42,118,30,32,48.4,59,45,47,7
Enzo Loiodice,Las Palmas,MF,23,684,3,31,3,0,0,10,10,29,7,8,46.7,17,7,7,2
José Campaña,Las Palmas,MF,31,1189,11,87,5,0,0,7,19,84,15,4,78.9,21,16,19,2
Kirian Rodríguez,Las Palmas,MF,28,1758,25,128,2,0,0,9,10,100,13,17,43.3,33,17,21,0
Darko Brašanac,Leganés,MF,32,1617,6,43,4,0,0,38,16,61,20,38,34.5,26,11,34,0
Seydouba Cissé,Leganés,MF,23,2435,26,110,3,1,0,39,12,154,25,38,39.7,59,37,45,1
Yvan Neyou,Leganés,MF,27,2312,24,96,14,0,0,33,26,121,22,19,53.7,53,33,38,1
Manu Morlanes,Mallorca,MF,25,1338,16,88,7,0,0,15,24,79,10,16,38.5,43,27,16,0
Omar Mascarell,Mallorca,MF,31,1992,10,75,5,1,0,30,49,90,44,25,63.8,27,13,59,3
Samu Costa,Mallorca,MF,23,2649,24,116,10,1,1,62,32,129,68,40,63.0,90,44,85,1
Aimar Oroz,Osasuna,MF,22,2966,74,163,8,0,0,28,20,164,18,22,45.0,35,19,10,0
Iker Muñoz,Osasuna,MF,21,610,6,24,2,0,0,12,4,28,10,12,45.5,5,2,12,1
Jon Moncayola,Osasuna,MF,26,2099,25,107,8,0,0,34,11,91,15,16,48.4,70,41,20,0
Lucas Torró,Osasuna,MF,30,2957,10,109,10,0,0,75,45,172,159,67,70.4,74,41,70,3
Pablo Ibáñez,Osasuna,MF,25,1294,21,51,4,0,0,28,18,56,19,24,44.2,20,10,21,0
Gerard Gumbau,Rayo Vallecano,MF,29,849,2,41,4,0,0,21,5,27,17,22,43.6,17,12,13,0
Pedro Díaz,Rayo Vallecano,MF,26,1211,27,62,2,0,0,7,7,80,5,8,38.5,23,15,7,1
Unai López,Rayo Vallecano,MF,28,1707,22,112,9,1,0,18,21,117,10,18,35.7,31,21,20,0
Óscar Valentín,Rayo Vallecano,MF,29,1835,13,86,5,0,0,57,21,109,33,39,45.8,55,41,51,2
Dani Ceballos,Real Madrid,MF,27,1215,42,150,4,0,0,13,14,87,2,1,66.7,41,21,10,2
Jude Bellingham,Real Madrid,MF,21,2488,74,199,5,1,0,33,28,97,30,31,49.2,61,33,23,1
Luka Modrić,Real Madrid,MF,38,1827,62,208,7,0,0,23,27,105,6,13,31.6,31,20,17,0
Beñat Turrientes,Real Sociedad,MF,22,942,18,42,4,0,0,13,5,45,10,18,35.7,15,6,14,1
Brais Méndez,Real Sociedad,MF,27,1531,32,91,4,0,0,41,7,76,18,27,40.0,24,13,16,1
Luka Sučić,Real Sociedad,MF,21,1792,30,79,4,0,0,11,15,109,26,25,51.0,25,18,16,1
Martín Zubimendi,Real Sociedad,MF,25,2962,38,195,6,0,0,44,44,140,53,32,62.4,73,37,79,3
Olasagasti,Real Sociedad,MF,23,857,11,38,2,0,0,15,15,42,12,22,35.3,21,10,10,0
Pablo Marín,Real Sociedad,MF,21,1239,20,45,3,0,0,19,5,62,18,26,40.9,25,17,14,0
Albert Sambi Lokonga,Sevilla,MF,24,1471,24,93,4,0,0,22,9,69,28,14,66.7,22,15,24,3
Djibril Sow,Sevilla,MF,27,2062,23,100,5,0,0,23,28,110,24,23,51.1,25,14,26,1
Lucien Agoume,Sevilla,MF,22,2114,29,135,5,1,0,49,41,136,42,40,51.2,70,32,42,0
Saúl Ñíguez,Sevilla,MF,29,1553,13,66,8,1,0,44,22,86,40,33,54.8,47,32,34,0
Enzo Barrenechea,Valencia,MF,23,2191,21,126,6,0,0,25,28,117,37,24,60.7,57,30,48,1
Javier Guerra,Valencia,MF,21,2581,50,137,5,0,0,34,20,168,17,18,48.6,50,27,49,3
José Luis García Vayá,Valencia,MF,25,1742,13,142,8,1,0,26,19,99,23,21,52.3,43,25,42,0
Chuky san jose,Valladolid,MF,20,728,6,15,1,0,0,3,0,20,2,10,16.7,8,2,4,0
Florian Grillitsch,Valladolid,MF,28,623,9,38,1,0,0,6,4,42,5,4,55.6,11,7,5,1
Kike Pérez,Valladolid,MF,27,1191,19,67,6,0,0,32,7,60,12,15,44.4,37,26,18,0
