jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas
Carlo Boukhalfa,St. Pauli,MF,1646,44,1.5,1.1,2,0,10,41,35.4,23,42,35.4% (23/42),51
Danel Sinani,St. Pauli,"FW,MF",1250,64,1.7,3.0,2,2,16,60,23.8,10,32,23.8% (10/32),76
Elias Saad,St. Pauli,"FW,MF",900,76,2.8,0.8,3,2,29,27,26.7,8,22,26.7% (8/22),56
Jackson Irvine,St. Pauli,MF,2610,58,3.2,3.9,0,6,19,117,56.7,85,65,56.7% (85/65),136
Johannes Eggestein,St. Pauli,FW,1853,138,4.7,2.1,2,4,25,43,24.8,28,85,24.8% (28/85),68
Morgan Guilavogui,St. Pauli,"FW,MF",1807,135,7.1,1.9,6,2,42,41,46.8,66,75,46.8% (66/75),83
Noah Weißhaupt,St. Pauli,"FW,MF",1160,94,2.1,1.8,1,0,42,33,44.1,15,19,44.1% (15/19),75
Oladapo Afolayan,St. Pauli,"FW,MF",1639,108,3.1,3.8,3,1,53,32,29.7,19,45,29.7% (19/45),85
Angelo Stiller,Stuttgart,MF,2741,69,1.8,7.2,1,8,39,289,39.1,18,28,39.1% (18/28),328
Atakan Karazor,Stuttgart,MF,2618,33,2.3,2.6,2,4,19,140,56.4,57,44,56.4% (57/44),159
Chris Führich,Stuttgart,"MF,FW",1981,202,2.9,3.7,2,3,114,95,38.5,5,8,38.5% (5/8),209
Deniz Undav,Stuttgart,"FW,MF",1726,141,11.7,3.6,9,3,31,70,40.4,21,31,40.4% (21/31),101
Enzo Millot,Stuttgart,"MF,FW",1843,123,7.6,3.1,6,5,44,118,29.6,8,19,29.6% (8/19),162
Ermedin Demirović,Stuttgart,FW,1855,115,14.1,1.9,15,1,20,31,42.0,34,47,42.0% (34/47),51
Fabian Rieder,Stuttgart,"MF,FW",867,61,1.4,2.0,1,3,20,38,23.5,4,13,23.5% (4/13),58
Jamie Leweling,Stuttgart,"MF,FW",1663,164,1.6,3.8,2,2,55,51,60.0,6,4,60.0% (6/4),106
Nick Woltemade,Stuttgart,"FW,MF",1622,141,10.2,4.6,10,2,31,52,43.1,47,62,43.1% (47/62),83
Aljoscha Kemlein,Union Berlin,MF,922,19,0.9,0.6,1,0,5,42,57.6,19,14,57.6% (19/14),47
Andrej Ilic,Union Berlin,FW,937,59,4.9,0.3,6,0,5,13,48.1,52,56,48.1% (52/56),18
András Schäfer,Union Berlin,MF,1534,42,0.6,0.9,1,1,23,55,59.6,28,19,59.6% (28/19),78
Benedict Hollerbach,Union Berlin,"FW,MF",2540,214,7.0,1.6,9,1,103,68,30.9,29,65,30.9% (29/65),171
Jeong Woo-yeong,Union Berlin,"MF,FW",1263,93,2.8,1.7,3,2,32,63,34.1,14,27,34.1% (14/27),95
Jordan Pefok,Union Berlin,FW,908,40,3.2,0.9,0,1,3,12,55.7,44,35,55.7% (44/35),15
Rani Khedira,Union Berlin,MF,2723,34,1.4,0.6,1,1,12,80,50.0,42,42,50.0% (42/42),92
Tim Skarke,Union Berlin,"FW,MF",1164,96,2.1,1.2,0,2,26,25,20.0,10,40,20.0% (10/40),51
Yorbe Vertessen,Union Berlin,"MF,FW",718,42,1.3,1.6,1,0,18,16,35.3,6,11,35.3% (6/11),34
Jens Stage,Werder Bremen,MF,2204,89,7.2,2.8,10,5,28,104,56.7,34,26,56.7% (34/26),132
Justin Njinmah,Werder Bremen,"FW,MF",952,103,3.7,1.6,3,2,33,23,42.9,15,20,42.9% (15/20),56
Leonardo Bittencourt,Werder Bremen,MF,982,38,1.6,1.6,2,1,19,64,25.0,5,15,25.0% (5/15),83
Marco Grüll,Werder Bremen,"FW,MF",1181,93,4.0,1.8,6,1,24,38,20.8,5,19,20.8% (5/19),62
Marvin Ducksch,Werder Bremen,FW,2418,166,10.1,8.5,7,8,26,86,39.6,19,29,39.6% (19/29),112
Oliver Burke,Werder Bremen,FW,908,88,4.1,1.7,5,0,22,15,65.6,40,21,65.6% (40/21),37
Romano Schmid,Werder Bremen,MF,2834,201,4.3,6.2,4,4,107,279,45.1,23,28,45.1% (23/28),386
Senne Lynen,Werder Bremen,MF,2733,28,1.1,0.6,0,1,9,91,47.2,25,28,47.2% (25/28),100
Bence Dárdai,Wolfsburg,MF,1304,24,1.0,1.0,1,1,5,39,40.0,10,15,40.0% (10/15),44
Jonas Wind,Wolfsburg,"FW,MF",1966,94,5.7,4.2,8,3,17,100,49.5,98,100,49.5% (98/100),117
Mattias Svanberg,Wolfsburg,MF,1219,39,3.6,1.7,3,1,11,36,37.5,12,20,37.5% (12/20),47
Maximilian Arnold,Wolfsburg,MF,2356,16,0.9,3.5,3,5,9,128,37.8,14,23,37.8% (14/23),137
Mohamed Amoura,Wolfsburg,FW,2467,244,8.7,4.0,8,9,81,61,29.7,19,45,29.7% (19/45),142
Patrick Wimmer,Wolfsburg,"MF,FW",1770,75,3.7,2.9,3,4,46,91,42.4,36,49,42.4% (36/49),137
Ridle Baku,Wolfsburg,"FW,MF",1170,78,1.5,1.3,2,1,16,44,23.8,5,16,23.8% (5/16),60
Tiago Tomás,Wolfsburg,"FW,MF",1884,125,5.4,2.6,6,1,31,50,23.1,9,30,23.1% (9/30),81
Ademola Lookman,Atalanta,"MF,FW",2247,316,10.3,7.1,14,5,142,73,56.7,17,13,56.7% (17/13),215
Charles De Ketelaere,Atalanta,"MF,FW",2070,211,7.3,6.0,7,7,108,140,48.6,36,38,48.6% (36/38),248
Lazar Samardzic,Atalanta,MF,1169,99,2.0,2.9,2,1,54,92,14.8,4,23,14.8% (4/23),146
Marco Brescianini,Atalanta,MF,991,69,3.1,1.0,4,2,46,36,54.5,12,10,54.5% (12/10),82
Mario Pašalić,Atalanta,MF,1967,68,6.6,3.3,3,4,44,149,50.8,30,29,50.8% (30/29),193
Mateo Retegui,Atalanta,FW,2383,199,18.9,4.9,21,8,21,46,42.9,51,68,42.9% (51/68),67
Éderson,Atalanta,MF,2881,79,4.1,4.3,4,1,40,216,59.6,53,36,59.6% (53/36),256
Benjamín Domínguez,Bologna,FW,1281,123,2.2,0.8,3,2,50,32,8.7,2,21,8.7% (2/21),82
Dan Ndoye,Bologna,FW,2143,231,7.0,3.8,6,4,132,74,40.0,14,21,40.0% (14/21),206
Giovanni Fabbian,Bologna,MF,1023,43,2.3,1.3,3,1,14,17,35.2,19,35,35.2% (19/35),31
Jens Odgaard,Bologna,"MF,FW",1952,99,3.6,1.8,6,1,35,50,41.0,43,62,41.0% (43/62),85
Lewis Ferguson,Bologna,MF,983,26,1.0,1.1,0,1,20,53,53.3,16,14,53.3% (16/14),73
Michel Aebischer,Bologna,MF,724,17,0.4,0.4,0,0,8,33,35.7,5,9,35.7% (5/9),41
Nicolò Cambiaghi,Bologna,FW,620,63,0.8,1.9,1,3,45,25,27.3,3,8,27.3% (3/8),70
Nikola Moro,Bologna,MF,1208,21,0.5,0.8,0,2,17,93,51.5,17,16,51.5% (17/16),110
Remo Freuler,Bologna,MF,3204,56,1.3,1.5,1,2,39,208,50.0,28,28,50.0% (28/28),247
Riccardo Orsolini,Bologna,FW,1878,186,10.1,3.7,12,4,61,69,54.8,23,19,54.8% (23/19),130
Santiago Castro,Bologna,FW,2294,136,7.7,2.9,8,4,17,39,35.2,37,68,35.2% (37/68),56
Thijs Dallinga,Bologna,FW,1154,84,4.3,0.6,3,2,9,17,53.2,41,36,53.2% (41/36),26
Tommaso Pobega,Bologna,MF,1178,23,2.1,1.4,2,2,12,42,46.7,14,16,46.7% (14/16),54
Alessandro Deiola,Cagliari,MF,1432,36,1.7,0.6,2,1,11,40,56.1,37,29,56.1% (37/29),51
Antoine Makoumbou,Cagliari,MF,2150,14,0.3,0.9,0,3,11,92,18.2,4,18,18.2% (4/18),103
Gianluca Gaetano,Cagliari,"MF,FW",1009,82,4.9,2.2,2,4,11,41,33.3,10,20,33.3% (10/20),52
Mattia Felici,Cagliari,"MF,FW",925,75,0.6,1.0,0,3,39,19,41.2,7,10,41.2% (7/10),58
Michel Ndary Adopo,Cagliari,MF,2409,61,1.1,2.3,1,1,20,106,54.7,29,24,54.7% (29/24),126
Nicolas Viola,Cagliari,"FW,MF",1267,70,2.2,1.9,3,1,21,46,46.7,21,24,46.7% (21/24),67
Roberto Piccoli,Cagliari,FW,3127,165,12.7,0.9,9,1,30,37,42.8,110,147,42.8% (110/147),67
Răzvan Marin,Cagliari,MF,1406,29,2.4,3.6,1,2,22,84,34.6,9,17,34.6% (9/17),106
Zito Luvumbo,Cagliari,"FW,MF",1606,125,2.1,3.1,2,2,70,31,26.1,6,17,26.1% (6/17),101
Assane Diao,Como,"FW,MF",1252,116,4.0,0.4,8,1,50,36,32.0,16,34,32.0% (16/34),86
Gabriel Strefezza,Como,"FW,MF",2619,190,3.7,3.9,6,4,80,106,29.4,10,24,29.4% (10/24),186
Lucas Da Cunha,Como,MF,2613,85,2.0,3.8,3,2,63,154,39.0,16,25,39.0% (16/25),217
Maxence Caqueret,Como,MF,1087,46,0.8,1.5,2,3,15,76,23.1,3,10,23.1% (3/10),91
Máximo Perrone,Como,MF,1857,19,0.9,2.2,0,3,16,98,44.0,11,14,44.0% (11/14),114
Nicolás Paz,Como,"MF,FW",2687,171,9.3,6.0,6,8,77,163,57.4,31,23,57.4% (31/23),240
Patrick Cutrone,Como,FW,2047,155,7.1,2.1,7,4,53,31,25.8,23,66,25.8% (23/66),84
Sergi Roberto,Como,MF,696,19,0.7,0.7,0,1,10,36,43.8,7,9,43.8% (7/9),46
Alberto Grassi,Empoli,MF,2203,24,1.0,0.8,1,0,18,74,58.0,29,21,58.0% (29/21),92
Faustino Anjorin,Empoli,MF,1114,35,0.9,1.7,2,3,28,55,37.5,9,15,37.5% (9/15),83
Jacopo Fazzini,Empoli,MF,1383,88,3.1,0.5,4,1,34,49,44.2,19,24,44.2% (19/24),83
Liam Henderson,Empoli,MF,2337,54,0.7,3.9,0,4,18,108,39.4,13,20,39.4% (13/20),126
Lorenzo Colombo,Empoli,"FW,MF",2233,116,5.9,2.9,5,2,27,48,30.5,53,121,30.5% (53/121),75
Ola Solbakken,Empoli,"MF,FW",760,32,0.8,0.4,0,0,18,20,32.1,9,19,32.1% (9/19),38
Sebastiano Esposito,Empoli,"FW,MF",2331,106,5.7,2.1,7,0,31,93,31.7,26,56,31.7% (26/56),124
Youssef Maleh,Empoli,MF,1510,37,0.9,0.9,0,1,10,72,33.3,9,18,33.3% (9/18),82
Albert Guðmundsson,Fiorentina,"FW,MF",1273,59,4.5,1.8,4,1,35,37,25.0,4,12,25.0% (4/12),72
Amir Richardson,Fiorentina,MF,1099,31,0.9,0.6,1,1,19,47,54.3,19,16,54.3% (19/16),66
Andrea Colpani,Fiorentina,"FW,MF",1450,129,2.7,1.3,2,1,37,57,40.0,10,15,40.0% (10/15),94
Christian Kouamé,Fiorentina,"FW,MF",622,46,1.1,1.5,0,1,7,16,60.4,29,19,60.4% (29/19),23
Danilo Cataldi,Fiorentina,MF,1728,16,1.1,0.8,3,0,18,90,54.5,6,5,54.5% (6/5),108
Edoardo Bove,Fiorentina,"MF,FW",851,24,0.6,1.5,1,2,12,37,42.3,11,15,42.3% (11/15),49
Lucas Beltrán,Fiorentina,"FW,MF",1953,94,5.4,3.0,3,4,23,64,37.6,32,53,37.6% (32/53),87
Michael Folorunsho,Fiorentina,"FW,MF",650,33,1.1,0.6,0,0,13,21,59.3,16,11,59.3% (16/11),34
Moise Kean,Fiorentina,FW,2704,143,19.4,1.9,18,3,42,26,51.5,51,48,51.5% (51/48),68
Nicolò Fagioli,Fiorentina,MF,962,19,0.5,3.0,1,2,15,50,20.0,1,4,20.0% (1/4),65
Riccardo Sottil,Fiorentina,"FW,MF",833,100,0.9,0.9,1,1,71,18,30.8,4,9,30.8% (4/9),89
Rolando Mandragora,Fiorentina,MF,1931,34,2.7,4.8,3,3,11,92,46.7,14,16,46.7% (14/16),103
Yacine Adli,Fiorentina,MF,1234,30,1.0,2.4,4,6,24,103,23.8,5,16,23.8% (5/16),127
Andrea Pinamonti,Genoa,FW,2850,132,7.7,1.7,10,1,20,46,42.8,83,111,42.8% (83/111),66
Fabio Miretti,Genoa,"MF,FW",1677,100,3.1,2.0,3,3,33,54,32.4,11,23,32.4% (11/23),87
Jeff Ekhator,Genoa,"FW,MF",769,51,1.3,1.0,1,1,4,14,31.9,15,32,31.9% (15/32),18
Junior Messias,Genoa,"MF,FW",847,49,2.4,0.7,1,1,32,32,35.0,14,26,35.0% (14/26),64
Milan Badelj,Genoa,MF,1472,14,1.0,1.1,1,0,8,83,62.5,10,6,62.5% (10/6),91
Morten Frendrup,Genoa,MF,3103,29,1.6,0.9,2,0,24,106,44.8,30,37,44.8% (30/37),130
Morten Thorsby,Genoa,"MF,FW",1898,76,2.8,2.1,0,1,24,58,51.9,107,99,51.9% (107/99),82
Patrizio Masini,Genoa,MF,1538,27,0.4,0.2,1,0,16,44,53.8,28,24,53.8% (28/24),60
Vitinha,Genoa,"FW,MF",1328,71,1.6,3.3,2,3,38,19,52.5,31,28,52.5% (31/28),57
Amin Sarr,Hellas Verona,FW,1907,103,3.2,2.1,4,1,31,41,41.7,65,91,41.7% (65/91),72
Casper Tengstedt,Hellas Verona,FW,1517,85,5.3,0.9,5,1,29,29,24.7,20,61,24.7% (20/61),58
Cheikh Tidiane Niasse,Hellas Verona,MF,755,15,0.4,0.1,0,0,5,25,47.5,19,21,47.5% (19/21),30
Dailon Livramento,Hellas Verona,"FW,MF",940,67,1.8,0.9,1,1,23,13,38.6,32,51,38.6% (32/51),36
Daniel Mosquera,Hellas Verona,FW,1375,83,6.6,1.3,5,1,17,25,47.0,79,89,47.0% (79/89),42
Grigoris Kastanos,Hellas Verona,"MF,FW",872,27,1.0,1.7,1,1,12,34,46.9,15,17,46.9% (15/17),46
Ondrej Duda,Hellas Verona,MF,2395,26,1.0,3.2,1,3,23,117,48.3,14,15,48.3% (14/15),140
Reda Belahyane,Hellas Verona,MF,1658,13,0.2,1.0,0,2,22,73,25.0,5,15,25.0% (5/15),95
Suat Serdar,Hellas Verona,MF,1376,35,1.9,1.0,2,1,18,56,50.0,14,14,50.0% (14/14),74
Tomáš Suslov,Hellas Verona,"MF,FW",2080,77,1.6,1.9,0,1,39,82,16.7,5,25,16.7% (5/25),121
Davide Frattesi,Inter,MF,1225,50,4.0,0.8,5,1,23,31,43.5,10,13,43.5% (10/13),54
Hakan Çalhanoğlu,Inter,MF,1947,51,4.4,5.6,2,6,52,173,47.1,16,18,47.1% (16/18),225
Henrikh Mkhitaryan,Inter,MF,2396,93,1.5,2.7,1,4,72,199,63.9,23,13,63.9% (23/13),271
Joaquín Correa,Inter,"FW,MF",731,45,2.1,2.0,2,2,22,42,25.0,6,18,25.0% (6/18),64
Kristjan Asllani,Inter,MF,988,20,2.5,1.9,0,2,7,55,57.1,4,3,57.1% (4/3),62
Lautaro Martínez,Inter,FW,2564,197,13.5,4.3,12,3,34,68,47.9,35,38,47.9% (35/38),102
Marcus Thuram,Inter,FW,2290,170,9.9,4.4,14,4,62,53,57.0,45,34,57.0% (45/34),115
Mehdi Taremi,Inter,FW,816,47,3.5,1.6,0,2,10,25,44.2,19,24,44.2% (19/24),35
Nicolò Barella,Inter,MF,2493,133,2.2,4.5,3,6,63,235,51.0,26,25,51.0% (26/25),298
Piotr Zieliński,Inter,MF,980,24,2.6,0.9,0,2,26,65,75.0,9,3,75.0% (9/3),91
Dušan Vlahović,Juventus,FW,1784,117,12.3,1.3,6,4,27,22,48.1,39,42,48.1% (39/42),49
Francisco Conceição,Juventus,"FW,MF",1340,143,2.3,4.3,3,3,95,35,18.2,2,9,18.2% (2/9),130
Kenan Yıldız,Juventus,"FW,MF",2402,223,4.3,5.0,7,4,115,121,23.5,8,26,23.5% (8/26),236
Khéphren Thuram,Juventus,MF,2326,52,3.5,3.6,4,5,74,123,49.1,28,29,49.1% (28/29),197
Manuel Locatelli,Juventus,MF,2822,33,1.8,2.5,1,2,33,294,61.4,35,22,61.4% (35/22),327
Nicolás González,Juventus,"FW,MF",1750,123,4.1,1.1,3,2,35,69,55.7,59,47,55.7% (59/47),104
Randal Kolo Muani,Juventus,FW,1160,100,4.7,1.6,7,1,21,20,27.0,10,27,27.0% (10/27),41
Samuel Mbangula,Juventus,FW,709,44,0.6,1.4,3,3,25,17,22.2,2,7,22.2% (2/7),42
Teun Koopmeiners,Juventus,"MF,FW",1994,127,3.9,2.9,3,3,32,89,50.0,22,22,50.0% (22/22),121
Boulaye Dia,Lazio,"MF,FW",2177,114,7.1,4.2,9,3,23,51,27.3,21,56,27.3% (21/56),74
Fisayo Dele-Bashiru,Lazio,"MF,FW",947,57,1.1,0.8,3,1,23,26,18.8,3,13,18.8% (3/13),49
Gustav Isaksen,Lazio,FW,2210,249,5.2,2.1,4,2,95,46,35.1,13,24,35.1% (13/24),141
Loum Tchaouna,Lazio,"FW,MF",660,66,2.5,0.6,1,0,22,20,16.1,5,26,16.1% (5/26),42
Mattia Zaccagni,Lazio,FW,2686,264,6.4,4.6,6,6,91,114,47.5,19,21,47.5% (19/21),205
Mattéo Guendouzi,Lazio,MF,3270,64,1.4,3.2,1,3,89,316,45.0,18,22,45.0% (18/22),405
Matías Vecino,Lazio,MF,877,14,2.3,2.4,2,3,4,29,51.7,30,28,51.7% (30/28),33
Nicolò Rovella,Lazio,MF,2718,42,1.5,2.2,0,3,45,159,36.7,11,19,36.7% (11/19),204
Pedro,Lazio,"FW,MF",1102,89,5.3,1.7,8,1,48,76,14.3,1,6,14.3% (1/6),124
Tijjani Noslin,Lazio,"FW,MF",861,56,2.0,1.6,2,2,13,16,48.2,27,29,48.2% (27/29),29
Valentín Castellanos,Lazio,FW,2384,149,13.4,3.6,8,3,27,66,53.1,68,60,53.1% (68/60),93
Ante Rebić,Lecce,"FW,MF",788,63,2.1,2.1,1,0,17,36,42.2,27,37,42.2% (27/37),53
Balthazar Pierret,Lecce,MF,1723,13,0.2,0.4,0,0,13,82,45.0,27,33,45.0% (27/33),95
Hamza Rafia,Lecce,MF,1058,32,0.5,1.4,0,0,13,51,27.8,5,13,27.8% (5/13),64
Lameck Banda,Lecce,"FW,MF",610,46,1.2,1.1,0,1,27,7,13.3,2,13,13.3% (2/13),34
Lassana Coulibaly,Lecce,MF,2667,49,0.8,0.9,1,0,21,93,43.1,31,41,43.1% (31/41),114
Medon Berisha,Lecce,MF,716,17,0.7,0.6,0,1,13,42,50.0,7,7,50.0% (7/7),55
Nikola Krstović,Lecce,FW,3057,149,12.1,2.9,9,5,42,56,41.6,91,128,41.6% (91/128),98
Santiago Pierotti,Lecce,FW,1937,85,3.1,2.4,4,2,43,38,44.5,49,61,44.5% (49/61),81
Tete Morente,Lecce,"FW,MF",2021,144,2.9,1.6,3,2,48,102,61.7,37,23,61.7% (37/23),150
Ylber Ramadani,Lecce,MF,1807,7,0.6,1.1,1,1,9,60,37.5,15,25,37.5% (15/25),69
Þórir Jóhann Helgason,Lecce,MF,1156,58,1.2,1.1,0,4,20,38,50.0,17,17,50.0% (17/17),58
Christian Pulisic,Milan,"FW,MF",2478,191,12.0,6.4,8,9,121,105,20.8,11,42,20.8% (11/42),226
João Félix,Milan,MF,760,56,2.7,1.2,2,0,20,40,50.0,7,7,50.0% (7/7),60
Rafael Leão,Milan,FW,2323,262,7.6,8.4,8,8,123,93,56.5,26,20,56.5% (26/20),216
Ruben Loftus-Cheek,Milan,MF,1037,32,0.7,1.9,0,0,27,51,62.1,18,11,62.1% (18/11),78
Samuel Chukwueze,Milan,"FW,MF",925,116,2.7,3.0,3,2,48,36,37.5,6,10,37.5% (6/10),84
Santiago Giménez,Milan,FW,669,38,4.8,0.9,5,2,13,6,38.9,7,11,38.9% (7/11),19
Tammy Abraham,Milan,FW,1183,69,7.1,2.2,2,4,8,26,52.2,36,33,52.2% (36/33),34
Tijjani Reijnders,Milan,MF,3128,121,7.5,3.5,10,4,111,230,25.0,5,15,25.0% (5/15),341
Youssouf Fofana,Milan,MF,2504,32,1.3,3.4,1,6,44,176,34.4,11,21,34.4% (11/21),220
Yunus Musah,Milan,"MF,FW",1571,74,1.9,1.8,0,2,51,84,36.4,8,14,36.4% (8/14),135
Álvaro Morata,Milan,"FW,MF",1099,63,3.9,0.8,5,0,18,26,41.2,14,20,41.2% (14/20),44
Alessandro Bianco,Monza,MF,2600,24,1.3,1.2,1,0,35,125,36.4,16,28,36.4% (16/28),160
Daniel Maldini,Monza,"MF,FW",1306,66,4.8,0.9,3,0,41,34,44.9,22,27,44.9% (22/27),75
Dany Mota,Monza,"FW,MF",2104,139,5.1,1.8,5,2,53,47,45.8,60,71,45.8% (60/71),100
Gianluca Caprari,Monza,"MF,FW",1651,104,4.2,2.4,1,2,43,81,22.2,4,14,22.2% (4/14),124
Jean-Daniel Akpa-Akpro,Monza,MF,966,22,0.3,0.2,0,0,21,19,42.3,11,15,42.3% (11/15),40
Keita Baldé,Monza,FW,638,29,1.1,0.2,2,0,19,35,31.3,5,11,31.3% (5/11),54
Matteo Pessina,Monza,MF,854,20,0.2,0.1,0,0,8,28,55.6,10,8,55.6% (10/8),36
Milan Đurić,Monza,FW,1270,30,2.9,1.1,4,1,2,21,72.5,132,50,72.5% (132/50),23
Warren Bondo,Monza,MF,1618,21,0.4,0.3,0,0,25,39,38.5,5,8,38.5% (5/8),64
Andre-Frank Zambo Anguissa,Napoli,MF,2852,119,4.4,2.4,6,4,24,144,57.3,67,50,57.3% (67/50),168
Billy Gilmour,Napoli,MF,1177,18,0.5,1.8,0,1,11,67,47.4,9,10,47.4% (9/10),78
David Neres,Napoli,FW,1283,143,2.7,3.5,2,4,73,32,23.1,3,10,23.1% (3/10),105
Giacomo Raspadori,Napoli,"FW,MF",1103,57,4.0,2.4,6,1,18,42,31.3,5,11,31.3% (5/11),60
Khvicha Kvaratskhelia,Napoli,"FW,MF",1178,89,4.1,3.7,4,3,74,57,44.4,4,5,44.4% (4/5),131
Matteo Politano,Napoli,"FW,MF",2804,278,3.1,4.8,3,4,135,129,23.1,6,20,23.1% (6/20),264
Romelu Lukaku,Napoli,FW,2843,219,13.0,4.0,11,10,31,36,42.9,42,56,42.9% (42/56),67
Scott McTominay,Napoli,MF,2938,131,7.4,2.7,12,4,56,112,56.9,66,50,56.9% (66/50),168
Stanislav Lobotka,Napoli,MF,2636,32,0.3,1.2,0,1,30,118,50.0,6,6,50.0% (6/6),148
Adrian Bernabe,Parma,MF,1453,20,1.3,1.1,1,1,37,115,50.0,4,4,50.0% (4/4),152
Ange-Yoan Bonny,Parma,FW,2529,163,9.4,2.9,4,4,41,53,24.7,23,70,24.7% (23/70),94
Dennis Man,Parma,"FW,MF",1995,142,5.5,4.2,4,4,67,60,34.6,9,17,34.6% (9/17),127
Hernani,Parma,MF,1327,40,2.8,1.5,0,3,29,78,48.6,18,19,48.6% (18/19),107
Mandela Keita,Parma,MF,1826,5,0.1,1.0,0,2,13,50,50.0,14,14,50.0% (14/14),63
Mateo Pellegrino,Parma,FW,737,37,3.3,0.7,3,1,6,15,52.7,49,44,52.7% (49/44),21
Matteo Cancellieri,Parma,"FW,MF",1424,79,2.7,0.7,3,0,40,24,50.9,29,28,50.9% (29/28),64
Nahuel Estévez,Parma,MF,657,4,0.1,0.8,0,0,3,30,82.4,14,3,82.4% (14/3),33
Pontus Almqvist,Parma,"FW,MF",1112,85,2.1,1.3,1,1,42,12,37.5,9,15,37.5% (9/15),54
Simon Sohm,Parma,MF,2989,67,3.1,2.1,4,0,69,140,50.0,29,29,50.0% (29/29),209
Valentin Mihaila,Parma,"FW,MF",1288,72,2.4,1.2,0,3,25,41,32.5,13,27,32.5% (13/27),66
Artem Dovbyk,Roma,FW,2418,175,11.9,2.4,10,2,24,16,41.2,42,60,41.2% (42/60),40
Bryan Cristante,Roma,MF,2045,41,2.1,1.4,4,2,25,145,51.3,61,58,51.3% (61/58),170
Eldor Shomurodov,Roma,"FW,MF",1097,62,4.7,1.3,4,4,19,21,40.6,26,38,40.6% (26/38),40
Leandro Paredes,Roma,MF,1373,14,2.3,1.5,1,1,17,106,81.8,9,2,81.8% (9/2),123
Lorenzo Pellegrini,Roma,MF,1626,82,4.7,2.5,1,1,27,61,33.3,10,20,33.3% (10/20),88
Manu Koné,Roma,MF,2572,50,3.4,1.7,2,1,70,144,37.7,20,33,37.7% (20/33),214
Niccolò Pisilli,Roma,MF,1227,44,2.7,0.7,2,1,22,63,12.5,3,21,12.5% (3/21),85
Paulo Dybala,Roma,"FW,MF",1417,122,6.4,5.0,3,3,41,79,32.0,8,17,32.0% (8/17),120
Tommaso Baldanzi,Roma,"MF,FW",832,57,1.4,1.0,1,1,39,23,25.0,1,3,25.0% (1/3),62
Antonio Sanabria,Torino,FW,1318,54,2.9,0.5,2,1,6,18,31.0,26,58,31.0% (26/58),24
Cesare Casadei,Torino,MF,1017,12,1.2,0.4,1,1,14,36,71.9,64,25,71.9% (64/25),50
Che Adams,Torino,FW,2652,153,9.0,2.0,9,3,23,40,36.7,36,62,36.7% (36/62),63
Elif Elmas,Torino,"FW,MF",1021,58,1.4,0.4,4,0,42,34,40.0,2,3,40.0% (2/3),76
Gvidas Gineitis,Torino,MF,1430,43,1.3,2.0,3,1,15,36,43.8,14,18,43.8% (14/18),51
Ivan Ilić,Torino,MF,920,41,0.9,1.1,1,0,24,45,22.2,4,14,22.2% (4/14),69
Karol Linetty,Torino,MF,1540,19,1.1,0.9,1,0,18,47,36.4,8,14,36.4% (8/14),65
Nikola Vlašić,Torino,"MF,FW",2117,110,3.4,2.4,3,4,53,94,48.2,27,29,48.2% (27/29),147
Samuele Ricci,Torino,MF,2825,30,1.3,0.6,1,1,43,116,48.3,14,15,48.3% (14/15),159
Yann Karamoh,Torino,"MF,FW",1046,80,1.2,0.9,0,1,37,28,35.7,5,9,35.7% (5/9),65
Arthur Atta,Udinese,"MF,FW",1251,77,1.3,1.4,0,1,31,57,41.2,14,20,41.2% (14/20),88
Florian Thauvin,Udinese,"FW,MF",1956,148,8.1,3.8,7,3,92,90,33.3,5,10,33.3% (5/10),182
Iker Bravo,Udinese,"FW,MF",682,39,0.9,0.4,2,1,7,18,30.0,12,28,30.0% (12/28),25
Jesper Karlström,Udinese,MF,3186,46,0.7,1.1,0,3,23,135,50.0,31,31,50.0% (31/31),158
Jurgen Ekkelenkamp,Udinese,MF,1892,86,2.8,1.3,3,2,34,72,58.1,18,13,58.1% (18/13),106
Keinan Davis,Udinese,FW,1066,77,2.9,2.1,2,1,26,22,48.1,37,40,48.1% (37/40),48
Lorenzo Lucca,Udinese,FW,2353,98,7.6,1.6,11,1,15,18,46.5,59,68,46.5% (59/68),33
Martín Payero,Udinese,MF,1381,44,1.2,1.3,1,1,33,51,51.2,21,20,51.2% (21/20),84
Oier Zarraga,Udinese,MF,896,23,0.4,0.4,1,0,7,28,35.3,6,11,35.3% (6/11),35
Sandi Lovrić,Udinese,MF,2308,71,2.6,3.4,2,3,60,120,5.6,1,17,5.6% (1/17),180
Alfred Duncan,Venezia,MF,957,12,0.8,1.1,0,0,11,53,55.6,10,8,55.6% (10/8),64
Christian Gytkjær,Venezia,FW,754,52,2.4,0.5,1,1,3,5,28.8,23,57,28.8% (23/57),8
Gaetano Oristanio,Venezia,"FW,MF",2315,131,4.1,2.6,3,3,72,64,26.9,14,38,26.9% (14/38),136
Gianluca Busio,Venezia,MF,2518,135,2.4,1.6,2,0,60,95,48.5,32,34,48.5% (32/34),155
Hans Nicolussi Caviglia,Venezia,MF,2861,22,2.4,2.1,4,2,20,140,54.0,27,23,54.0% (27/23),160
