jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas
Joe Willock,Newcastle Utd,"MF,FW",1086,86,1.6,2.1,0,2,38,41,26.3,5,14,26.3% (5/14),79
Joelinton,Newcastle Utd,"MF,FW",2393,110,3.9,2.5,4,3,40,116,56.2,59,46,56.2% (59/46),156
Sandro Tonali,Newcastle Utd,MF,2630,53,4.4,2.2,4,2,37,128,50.0,12,12,50.0% (12/12),165
Sean Longstaff,Newcastle Utd,MF,798,22,0.6,0.2,0,0,4,40,50.0,7,7,50.0% (7/7),44
Anthony Elanga,Nott'ham Forest,"FW,MF",2501,229,4.5,5.7,6,11,102,63,39.3,24,37,39.3% (24/37),165
Callum Hudson-Odoi,Nott'ham Forest,"FW,MF",2194,189,2.5,2.7,5,2,130,71,23.1,3,10,23.1% (3/10),201
Chris Wood,Nott'ham Forest,FW,2959,94,13.4,2.6,17,3,14,42,39.7,94,143,39.7% (94/143),56
Elliot Anderson,Nott'ham Forest,MF,2728,94,2.1,3.3,2,6,52,143,65.1,56,30,65.1% (56/30),195
Jota Silva,Nott'ham Forest,"FW,MF",854,59,2.1,2.9,3,1,21,18,41.2,21,30,41.2% (21/30),39
Morgan Gibbs-White,Nott'ham Forest,MF,2803,137,6.3,5.0,7,8,69,164,42.1,40,55,42.1% (40/55),233
Nicolás Domínguez,Nott'ham Forest,"MF,FW",1963,33,1.5,1.3,0,1,16,83,54.0,27,23,54.0% (27/23),99
Ryan Yates,Nott'ham Forest,MF,1915,16,2.3,1.2,2,1,18,53,60.0,45,30,60.0% (45/30),71
Adam Armstrong,Southampton,"FW,MF",1248,79,3.3,1.2,2,2,25,21,35.7,5,9,35.7% (5/9),46
Cameron Archer,Southampton,FW,1441,66,5.7,0.5,2,0,22,14,23.1,9,30,23.1% (9/30),36
Flynn Downes,Southampton,MF,2151,29,0.6,1.1,1,0,29,66,50.0,17,17,50.0% (17/17),95
Kamaldeen Sulemana,Southampton,"FW,MF",1402,87,1.5,1.0,1,1,63,27,32.5,13,27,32.5% (13/27),90
Lesley Ugochukwu,Southampton,MF,1655,20,0.9,1.0,1,1,29,49,52.6,20,18,52.6% (20/18),78
Mateus Fernandes,Southampton,MF,2909,108,4.0,3.0,2,4,76,145,62.5,15,9,62.5% (15/9),221
Paul Onuachu,Southampton,FW,1050,40,3.6,0.5,4,1,7,13,61.2,93,59,61.2% (93/59),20
Tyler Dibling,Southampton,"FW,MF",1874,96,2.5,1.5,2,0,69,64,28.6,10,25,28.6% (10/25),133
William Smallbone,Southampton,MF,690,25,0.6,0.7,1,0,5,27,40.0,4,6,40.0% (4/6),32
Brennan Johnson,Tottenham,FW,2177,197,10.4,2.3,11,3,60,71,25.9,7,20,25.9% (7/20),131
Dejan Kulusevski,Tottenham,"MF,FW",2389,210,4.2,6.2,7,4,120,124,40.0,10,15,40.0% (10/15),244
Dominic Solanke,Tottenham,FW,2201,88,10.9,2.9,8,3,31,47,43.4,46,60,43.4% (46/60),78
James Maddison,Tottenham,MF,1809,95,5.8,4.2,9,7,45,164,41.7,5,7,41.7% (5/7),209
Lucas Bergvall,Tottenham,MF,1212,31,0.7,0.6,0,1,33,49,52.9,9,8,52.9% (9/8),82
Mathys Tel,Tottenham,FW,911,72,3.0,2.5,1,1,28,21,36.4,4,7,36.4% (4/7),49
Pape Matar Sarr,Tottenham,MF,1913,53,3.7,1.6,3,2,33,88,43.0,34,45,43.0% (34/45),121
Rodrigo Bentancur,Tottenham,MF,1645,34,1.3,0.4,2,0,28,100,54.5,36,30,54.5% (36/30),128
Son Heung-min,Tottenham,FW,2110,265,7.2,8.2,6,9,96,111,33.3,6,12,33.3% (6/12),207
Wilson Odobert,Tottenham,"FW,MF",850,66,1.6,1.0,1,0,45,27,33.3,4,8,33.3% (4/8),72
Yves Bissouma,Tottenham,MF,1408,3,0.6,0.3,2,0,15,75,50.0,7,7,50.0% (7/7),90
Carlos Soler,West Ham,"MF,FW",1409,37,1.8,1.4,1,1,17,56,45.5,10,12,45.5% (10/12),73
Crysencio Summerville,West Ham,"FW,MF",786,71,1.6,1.7,1,1,29,18,30.8,4,9,30.8% (4/9),47
Edson Álvarez,West Ham,MF,1772,18,0.4,0.8,0,1,24,85,56.6,30,23,56.6% (30/23),109
Guido Rodríguez,West Ham,MF,1149,7,0.2,0.2,0,1,4,33,61.1,11,7,61.1% (11/7),37
James Ward-Prowse,West Ham,MF,1039,9,1.6,1.9,1,1,11,54,66.7,10,5,66.7% (10/5),65
